t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,1.957575191116639912e+00,1.959438533970319307e+00,-1.863342853679395006e-03,9.062961578369140625e+00,9.062970425095841165e+00,-8.846726700539875310e-06,2.413785552189288364e+00,2.413786494151509032e+00,-9.419622206685573929e-07,4.562103610726484515e-01,4.543479601811897250e-01,1.862400891458726448e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.941365425011122969e+00,1.942295768659281219e+00,-9.303436481582494366e-04,9.065097342848002171e+00,9.063243345442495880e+00,1.853997405506291329e-03,2.364606401891503840e+00,2.364413051691327983e+00,1.933502001758569122e-04,4.232409768803808703e-01,4.221172830320467639e-01,1.123693848334106349e-03,9.795334396899451068e-01,9.795334396899451068e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.973303642308042338e+00,1.976023566064708747e+00,-2.719923756666409176e-03,9.034156716568830348e+00,9.031271914721692440e+00,2.884801847137907771e-03,2.471206820241688362e+00,2.470891318659169666e+00,3.155015825186957557e-04,4.979031779336460239e-01,4.948677525944609190e-01,3.035425339185104932e-03,1.025092640455600890e+00,1.025092640455600890e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.963310065193447862e+00,1.964575946428137154e+00,-1.265881234689292256e-03,9.079428485755046907e+00,9.073652793577910103e+00,5.775692177136804162e-03,2.426120262011932649e+00,2.425503151081610742e+00,6.171109303219068920e-04,4.628101968184847870e-01,4.609272046534735878e-01,1.882992165011199148e-03,1.004380944447225810e+00,1.004380944447225810e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.966723395697889121e+00,1.967908646462531497e+00,-1.185250764642375998e-03,9.087339057178315471e+00,9.079969747901115440e+00,7.369309277200031261e-03,2.434075966162914106e+00,2.433286647514341539e+00,7.893186485725678381e-04,4.673525704650249857e-01,4.653780010518100418e-01,1.974569413214943836e-03,1.007323724305433821e+00,1.007323724305433821e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.969905716818174612e+00,1.970971116878654783e+00,-1.065400060480170552e-03,9.099395664969543773e+00,9.090421005116512632e+00,8.974659853031141665e-03,2.440058167270643175e+00,2.439095764905882646e+00,9.624023647605284282e-04,4.701524504524685621e-01,4.681246480272278632e-01,2.027802425240698980e-03,1.009264302648120948e+00,1.009264302648120948e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.900578699608969302e+00,1.900193781972526086e+00,3.849176364432160824e-04,9.113648089796853924e+00,9.103095278001717361e+00,1.055281179513656298e-02,2.233879548373895130e+00,2.232845099262177335e+00,1.034449111717794523e-03,3.333008487649258278e-01,3.326513172896512494e-01,6.495314752745784403e-04,9.234061271672175941e-01,9.234061271672175941e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.902126913438500599e+00,1.901422713527718411e+00,7.041999107821883541e-04,8.990334834652390583e+00,8.979661210798624893e+00,1.067362385376569023e-02,2.272543451618824317e+00,2.271464441571078741e+00,1.079010047745576628e-03,3.704165381803237178e-01,3.700417280433603295e-01,3.748101369633882740e-04,9.445184741829154573e-01,9.445184741829154573e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.907518182734401213e+00,1.906889356045107675e+00,6.288266892935379104e-04,8.910315538145830772e+00,8.899801876525444300e+00,1.051366162038647190e-02,2.311049786071283751e+00,2.309959233696636360e+00,1.090552374647391076e-03,4.035316033368825384e-01,4.030698776515286852e-01,4.617256853538531658e-04,9.639618055190468660e-01,9.639618055190468660e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.908882618002988307e+00,1.908399953851120268e+00,4.826641518680396814e-04,8.867420452091959504e+00,8.856971822691759755e+00,1.044862940019974928e-02,2.327711397889692169e+00,2.326614497324267727e+00,1.096900565424441254e-03,4.188287798867038614e-01,4.182145434731474598e-01,6.142364135564015726e-04,9.727864504762933073e-01,9.727864504762933073e-01,0.000000000000000000e+00
1.000000000000000000e+01,1.905376491252291915e+00,1.904877585864886536e+00,4.989053874053794857e-04,8.841971682107850228e+00,8.831432315940300981e+00,1.053936616754924671e-02,2.324992627244538479e+00,2.323884308093234541e+00,1.108319151303938099e-03,4.196161359922465639e-01,4.190067222283480053e-01,6.094137638985586136e-04,9.727672914504722490e-01,9.727672914504722490e-01,0.000000000000000000e+00
1.100000000000000000e+01,1.939776011391194377e+00,1.941064721186634978e+00,-1.288709795440601269e-03,8.818585308387449473e+00,8.807964574216706310e+00,1.062073417074316239e-02,2.436052703117709051e+00,2.434879368731950766e+00,1.173334385758284526e-03,4.962766917265146738e-01,4.938146475453157880e-01,2.462044181198885795e-03,1.020314097537728726e+00,1.020314097537728726e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.897733750889277538e+00,1.896756486364453043e+00,9.772645248244948846e-04,8.873031199905001998e+00,8.860480544032272476e+00,1.255065587272952143e-02,2.293577857725935143e+00,2.292280335477406616e+00,1.297522248528526490e-03,3.958441068366576054e-01,3.955238491129535738e-01,3.202577237040316049e-04,9.582791612687322491e-01,9.582791612687322491e-01,0.000000000000000000e+00
1.300000000000000000e+01,1.931059798242533931e+00,1.931497172372750315e+00,-4.373741302163836053e-04,8.824316645886565169e+00,8.812074548152708076e+00,1.224209773385709354e-02,2.407377785592990982e+00,2.406042044223321241e+00,1.335741369669740664e-03,4.763179873504570505e-01,4.745448718505709262e-01,1.773115499886124269e-03,1.008042058567751864e+00,1.008042058567751864e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.934642331258021430e+00,1.934856139702443079e+00,-2.138084444216481472e-04,8.858516680231440787e+00,8.845114823409053528e+00,1.340185682238725917e-02,2.407573338811690000e+00,2.406116527700589813e+00,1.456811111100186906e-03,4.729310075536685698e-01,4.712603879981467347e-01,1.670619555521835053e-03,1.006566163596257502e+00,1.006566163596257502e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.919528611838447363e+00,1.918739269837054229e+00,7.893420013931340407e-04,8.887616236750837118e+00,8.873215223302304722e+00,1.440101344853239596e-02,2.353111181045636435e+00,2.351586131382608080e+00,1.525049663028354985e-03,4.335825692071890725e-01,4.328468615455538515e-01,7.357076616352209442e-04,9.825074365931696363e-01,9.825074365931696363e-01,0.000000000000000000e+00
1.600000000000000000e+01,1.956276423456586588e+00,1.957707915851561564e+00,-1.431492394974975824e-03,8.875909402214439581e+00,8.861494204009961351e+00,1.441519820447823008e-02,2.469017667890020196e+00,2.467413808764155281e+00,1.603859125864914859e-03,5.127412444334336072e-01,5.097058929125937166e-01,3.035351520839890682e-03,1.031445877691357538e+00,1.031445877691357538e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.991493703626598499e+00,1.995099744650890017e+00,-3.606041024291517516e-03,8.943947781435156230e+00,8.927219465303450008e+00,1.672831613170622234e-02,2.558756151745055885e+00,2.556841815257318018e+00,1.914336487737866577e-03,5.672624481184573852e-01,5.617420706064280012e-01,5.520377512029384093e-03,1.065676316708910720e+00,1.065676316708910720e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.023604921669122980e+00,2.028387089255556219e+00,-4.782167586433239137e-03,9.063098489732922758e+00,9.041687922052043191e+00,2.141056768087956641e-02,2.622831119673643130e+00,2.620352257100251769e+00,2.478862573391360513e-03,5.992261980045201497e-01,5.919651678446955501e-01,7.261030159824599650e-03,1.086598300834228814e+00,1.086598300834228814e+00,0.000000000000000000e+00
1.900000000000000000e+01,2.009361545179917385e+00,2.009852149727503257e+00,-4.906045475858711313e-04,9.208243231578848054e+00,9.180644350950778687e+00,2.759888062806936659e-02,2.528464145330200363e+00,2.525431755490284313e+00,3.032389839916049823e-03,5.191026001502829779e-01,5.155796057627810569e-01,3.522994387501920954e-03,1.040871145034375500e+00,1.040871145034375500e+00,0.000000000000000000e+00
2.000000000000000000e+01,2.021519346922404203e+00,2.022189642747713290e+00,-6.702958253090862684e-04,9.265992300153303773e+00,9.236253190636544375e+00,2.973910951675939884e-02,2.548325232831556875e+00,2.545052337147197363e+00,3.272895684359511392e-03,5.268058859091526713e-01,5.228626943994840737e-01,3.943191509668597661e-03,1.046428494403154996e+00,1.046428494403154996e+00,0.000000000000000000e+00
2.100000000000000000e+01,2.059493101435671658e+00,2.063117958504653515e+00,-3.624857068981857111e-03,9.328551297299814138e+00,9.296358992014853939e+00,3.219230528496019872e-02,2.650553029347849421e+00,2.646892472081905812e+00,3.660557265943609195e-03,5.910599279121777627e-01,5.837745135772522964e-01,7.285414334925466306e-03,1.085482763389438388e+00,1.085482763389438388e+00,0.000000000000000000e+00
2.200000000000000000e+01,2.087714288885416547e+00,2.092141270847160950e+00,-4.426981961744402838e-03,9.452229991109032170e+00,9.414365177812239693e+00,3.786481329679247665e-02,2.701600971534223294e+00,2.697269174322462604e+00,4.331797211760690658e-03,6.138866826488067474e-01,6.051279034753016539e-01,8.758779173505093496e-03,1.100578079068002202e+00,1.100578079068002202e+00,0.000000000000000000e+00
2.300000000000000000e+01,2.064677649162769413e+00,2.063743484596530120e+00,9.341645662392927818e-04,9.592538861139892958e+00,9.547812380300729984e+00,4.472648083916297423e-02,2.579968891137118803e+00,2.575152997526969578e+00,4.815893610149224457e-03,5.152912419743493899e-01,5.114095129304394582e-01,3.881729043909931676e-03,1.044854479158596527e+00,1.044854479158596527e+00,0.000000000000000000e+00
2.400000000000000000e+01,2.065913706478748502e+00,2.064512942515052352e+00,1.400763963696149972e-03,9.627222503046921176e+00,9.580855189648788794e+00,4.636731339813238151e-02,2.572763602452458720e+00,2.567802683202295100e+00,4.960919250163620120e-03,5.068498959737102183e-01,5.032897406872427482e-01,3.560155286467470148e-03,1.040434126063906506e+00,1.040434126063906506e+00,0.000000000000000000e+00
2.500000000000000000e+01,2.061055510694659088e+00,2.058848095992023897e+00,2.207414702635190906e-03,9.651727071106716238e+00,9.604122708279330567e+00,4.760436282738567115e-02,2.549664769071974035e+00,2.544629863541034709e+00,5.034905530939326468e-03,4.886092583773149478e-01,4.857817675490108122e-01,2.827490828304135562e-03,1.030045527308618203e+00,1.030045527308618203e+00,0.000000000000000000e+00
2.600000000000000000e+01,2.076593013360586326e+00,2.075666150190166537e+00,9.268631704197893839e-04,9.656763268035085446e+00,9.608716499173150183e+00,4.804676886193526286e-02,2.597319393600961757e+00,2.592145349373115693e+00,5.174044227846064103e-03,5.207263802403754305e-01,5.164791991829491558e-01,4.247181057426274720e-03,1.049078833242275577e+00,1.049078833242275577e+00,0.000000000000000000e+00
2.700000000000000000e+01,2.064169273141878147e+00,2.061555865611655047e+00,2.613407530223099684e-03,9.693664262123510511e+00,9.643777562527342084e+00,4.988669959616842675e-02,2.546273522996542304e+00,2.541026700323220755e+00,5.246822673321549502e-03,4.821042498546641575e-01,4.794708347115657077e-01,2.633415143098449818e-03,1.026894025365130192e+00,1.026894025365130192e+00,0.000000000000000000e+00
2.800000000000000000e+01,2.077610766674037102e+00,2.076159056126623881e+00,1.451710547413220809e-03,9.690094303687928345e+00,9.640073623906941336e+00,5.002067978098700962e-02,2.589833164962071610e+00,2.584480254674117017e+00,5.352910287954593116e-03,5.122223982880345083e-01,5.083211985474931360e-01,3.901199740541372307e-03,1.044615135720186938e+00,1.044615135720186938e+00,0.000000000000000000e+00
2.900000000000000000e+01,2.055530110011167366e+00,2.051950280641876567e+00,3.579829369290798979e-03,9.716821356568722479e+00,9.665405624711675969e+00,5.141573185704650939e-02,2.512333142506887995e+00,2.507010067916123575e+00,5.323074590764420577e-03,4.568030324957206290e-01,4.550597872742470074e-01,1.743245221473621598e-03,1.012240080123810948e+00,1.012240080123810948e+00,0.000000000000000000e+00
3.000000000000000000e+01,2.038077001753980877e+00,2.033845404498389797e+00,4.231597255591079687e-03,9.686789958673776013e+00,9.636207024481421968e+00,5.058293419235404542e-02,2.468326933150977620e+00,2.463165964346536008e+00,5.160968804441612434e-03,4.302499313969967432e-01,4.293205598481462104e-01,9.293715488505327471e-04,9.957410786191710494e-01,9.957410786191710494e-01,0.000000000000000000e+00
3.100000000000000000e+01,2.051376535691640690e+00,2.048411692795577110e+00,2.964842896063579758e-03,9.631710099721484397e+00,9.582732111845285061e+00,4.897798787619933591e-02,2.525719182601670276e+00,2.520576743947515297e+00,5.142438654154979361e-03,4.743426469100295861e-01,4.721650511519381865e-01,2.177595758091399603e-03,1.021218926685194095e+00,1.021218926685194095e+00,0.000000000000000000e+00
3.200000000000000000e+01,2.029309559742152214e+00,2.025188613281775130e+00,4.120946460377084009e-03,9.623482580111360818e+00,9.574780902950639216e+00,4.870167716072160147e-02,2.460814770383040972e+00,2.455828521984894319e+00,4.986248398146653216e-03,4.315052106408887589e-01,4.306399087031191897e-01,8.653019377695692071e-04,9.953162425541037805e-01,9.953162425541037805e-01,0.000000000000000000e+00
3.300000000000000000e+01,2.065951993127605135e+00,2.065028929527461088e+00,9.230636001440473137e-04,9.572829841322022304e+00,9.525702924913741043e+00,4.712691640828126083e-02,2.590423338924917385e+00,2.585317527844389396e+00,5.105811080527988821e-03,5.244713457973122495e-01,5.202885983169283080e-01,4.182747480383941507e-03,1.049951357964908460e+00,1.049951357964908460e+00,0.000000000000000000e+00
3.400000000000000000e+01,2.021368702361129976e+00,2.016922821816864442e+00,4.445880544265534695e-03,9.617681052920170615e+00,9.568732552694370952e+00,4.894850022579966264e-02,2.438750957009283127e+00,2.433781332668787822e+00,4.969624340495304438e-03,4.173822546481531504e-01,4.168585108519233806e-01,5.237437962297697425e-04,9.866300065470771097e-01,9.866300065470771097e-01,0.000000000000000000e+00
3.500000000000000000e+01,2.014604641242410121e+00,2.010358162716686881e+00,4.246478525723240693e-03,9.553196027594893280e+00,9.506176212649354085e+00,4.701981494553919561e-02,2.437607302654463570e+00,2.432803765681071706e+00,4.803536973391864251e-03,4.230026614120534489e-01,4.224456029643848254e-01,5.570584476686235575e-04,9.888231889884777637e-01,9.888231889884777637e-01,0.000000000000000000e+00
3.600000000000000000e+01,1.976581249315958910e+00,1.971902082975861781e+00,4.679166340097129506e-03,9.497562252682991257e+00,9.452341176930401545e+00,4.522107575258971224e-02,2.342429182388880093e+00,2.337963998229480644e+00,4.465184159399449015e-03,3.658479330729211831e-01,3.660619152536188636e-01,-2.139821806976804908e-04,9.524351867686962070e-01,9.524351867686962070e-01,0.000000000000000000e+00
3.700000000000000000e+01,1.933575423593971720e+00,1.929322729415787752e+00,4.252694178183968887e-03,9.387561125686580965e+00,9.344819708908342903e+00,4.274141677823806162e-02,2.251289609221781784e+00,2.247186203923724257e+00,4.103405298057527517e-03,3.177141856278100640e-01,3.178634745079365054e-01,-1.492888801264413701e-04,9.196508368590872173e-01,9.196508368590872173e-01,0.000000000000000000e+00
