t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,1.290873450298121394e+00,1.295942558582465542e+00,-5.069108284344148174e-03,4.103293802942340918e+00,4.103293802942340918e+00,0.000000000000000000e+00,1.761851737132817730e+00,1.761851737132817730e+00,0.000000000000000000e+00,4.709782868346963358e-01,4.659091785503521876e-01,5.069108284344148174e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.289748005779036255e+00,1.294445201012562441e+00,-4.697195233526185731e-03,4.123304164251919701e+00,4.118235055967574887e+00,5.069108284344814308e-03,1.758461004723017584e+00,1.757593432844318349e+00,8.675718786992359099e-04,4.687129989439813293e-01,4.631482318317559077e-01,5.564767112225421641e-03,9.961295219372877652e-01,9.961295219372877652e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.282430453384680868e+00,1.287040600009856872e+00,-4.610146625176003710e-03,4.138850021245598754e+00,4.128773260537139222e+00,1.007676070845953120e-02,1.743586253296594668e+00,1.741882023430410653e+00,1.704229866184014952e-03,4.611557999119137996e-01,4.548414234205537809e-01,6.314376491360018662e-03,9.862133331928063518e-01,9.862133331928063518e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.245493246726872227e+00,1.251183672652451229e+00,-5.690425925579001287e-03,4.145130129145813136e+00,4.129846467084489881e+00,1.528366206132325544e-02,1.672999143713534087e+00,1.670521768992813127e+00,2.477374720720959544e-03,4.275058969866618597e-01,4.193380963403618988e-01,8.167800646299960832e-03,9.457121983872933679e-01,9.457121983872933679e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.176606295911533095e+00,1.183449931435044400e+00,-6.843635523511304442e-03,4.117070125871538089e+00,4.095298396983920952e+00,2.177172888761713665e-02,1.543855376692091719e+00,1.540574975953591830e+00,3.280400738499889002e-03,3.672490807805586233e-01,3.571250445185474298e-01,1.012403626201119344e-02,8.750911565670884684e-01,8.750911565670884684e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.164954245003102962e+00,1.170706728699815180e+00,-5.752483696712218375e-03,4.031837209731874871e+00,4.002334242145146881e+00,2.950296758672799058e-02,1.528247676181582859e+00,1.523751562777065027e+00,4.496113404517831924e-03,3.632934311784798975e-01,3.530448340772498472e-01,1.024859710123005030e-02,8.735447318920182003e-01,8.735447318920182003e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.141576654678294389e+00,1.146668388755113233e+00,-5.091734076818843491e-03,3.952016072505828426e+00,3.915506998540782213e+00,3.650907396504621261e-02,1.490163628804600071e+00,1.484625689233277201e+00,5.537939571322869625e-03,3.485869741263056820e-01,3.379573004781639689e-01,1.062967364814171312e-02,8.586362592680782946e-01,8.586362592680782946e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.116144877713134420e+00,1.120644092153880722e+00,-4.499214440746301946e-03,3.866261131222153757e+00,3.823134872633528580e+00,4.312625858862517703e-02,1.448895373381970053e+00,1.442390019460805251e+00,6.505353921164802600e-03,3.327504956688356330e-01,3.217459273069245285e-01,1.100456836191110455e-02,8.422372188252319480e-01,8.422372188252319480e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.132503550527754976e+00,1.135160782425156167e+00,-2.657231897401191034e-03,3.774094512587500283e+00,3.724703428951817052e+00,4.939108363568323057e-02,1.486776695437407092e+00,1.478940261724458916e+00,7.836433712948176478e-03,3.542731449096521157e-01,3.437794792993027482e-01,1.049366561034936751e-02,8.726633864500548121e-01,8.726633864500548121e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.071350286334449065e+00,1.074798726908635427e+00,-3.448440574186362184e-03,3.713580012543026498e+00,3.659123535216164402e+00,5.445647732686209608e-02,1.376829423745346670e+00,1.368693981966885298e+00,8.135441778461371953e-03,3.054791374108976054e-01,2.938952550582498713e-01,1.158388235264773414e-02,8.133872197317961739e-01,8.133872197317961739e-01,0.000000000000000000e+00
