t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,1.564690462459200182e+00,1.599548806897770570e+00,-3.485834443857038778e-02,9.967068672180175781e+00,9.967067783752654009e+00,8.884275217724280083e-07,2.404296878997527198e+00,2.404296797230792482e+00,8.176673471638196133e-08,8.396064165383270161e-01,8.047479903330219120e-01,3.485842620530510416e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.564169743072654217e+00,1.595623593748968450e+00,-3.145385067631423226e-02,1.000305986919257606e+01,9.968200626191027425e+00,3.485924300154863431e-02,2.390231818215663662e+00,2.387050348873962502e+00,3.181469341701159692e-03,8.260620751430094444e-01,7.914267551249940524e-01,3.463532001801539195e-02,9.927837719898153779e-01,9.927837719898153779e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.570166979624984416e+00,1.603013383123340185e+00,-3.284640349835576956e-02,1.002260486121872773e+01,9.955920895691622974e+00,6.668396552710476044e-02,2.427184096669267266e+00,2.421010001011450807e+00,6.174095657816458527e-03,8.570171170442828501e-01,8.179966178881106220e-01,3.902049915617222808e-02,1.007381385603120627e+00,1.007381385603120627e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.565387495621653136e+00,1.591232069498277335e+00,-2.584457387662419947e-02,1.007152904034126095e+01,9.971201106246711632e+00,1.003279340945493203e-01,2.376643585292839145e+00,2.367582765603007289e+00,9.060819689831856039e-03,8.112560896711860092e-01,7.763506961047299537e-01,3.490539356645605551e-02,9.845740645577570893e-01,9.845740645577570893e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.562986283237581819e+00,1.583390971640060707e+00,-2.040468840247888771e-02,1.007074758046627672e+01,9.943603396909095338e+00,1.271441835571813783e-01,2.349007036639106705e+00,2.337647596545558315e+00,1.135944009354838968e-02,7.860207534015248854e-01,7.542566249054976080e-01,3.176412849602727739e-02,9.731538587432905230e-01,9.731538587432905230e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.569433582544308869e+00,1.596863995506784928e+00,-2.743041296247605842e-02,1.004479379111627146e+01,9.896136737917728965e+00,1.486570531985424992e-01,2.416339172372767852e+00,2.402632395776627128e+00,1.370677659614072397e-02,8.469055898284589823e-01,8.057684002698421999e-01,4.113718955861678239e-02,1.002034480348804601e+00,1.002034480348804601e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.574318513744449088e+00,1.601925232882798200e+00,-2.760671913834911173e-02,1.008181741534020404e+01,9.904008950384865173e+00,1.778084649553388630e-01,2.440113076591135410e+00,2.423603256228441971e+00,1.650982036269343922e-02,8.657945628466863219e-01,8.216780233456437710e-01,4.411653950104255095e-02,1.010473914977227494e+00,1.010473914977227494e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.574522303214945351e+00,1.599254458940218226e+00,-2.473215572527287520e-02,1.013474490744393997e+01,9.927156072758062777e+00,2.075888346858771882e-01,2.427753110668920744e+00,2.408658868004505127e+00,1.909424266441561713e-02,8.532308074539753928e-01,8.094044090642869005e-01,4.382639838968849233e-02,1.003349101873887372e+00,1.003349101873887372e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.570900209354197496e+00,1.590069836900325662e+00,-1.916962754612816511e-02,1.017084125726471378e+01,9.936163296946467938e+00,2.346779603182458374e-01,2.388680907787749774e+00,2.367500506329138776e+00,2.118040145861099788e-02,8.177806984335522777e-01,7.774306694288131148e-01,4.035002900473916299e-02,9.858630172178153295e-01,9.858630172178153295e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.576202371586258755e+00,1.598384335939544876e+00,-2.218196435328612104e-02,1.016857715631470782e+01,9.912470555697051822e+00,2.561066006176559995e-01,2.430483058351359471e+00,2.406943252133107780e+00,2.353980621825169095e-02,8.542806867651007163e-01,8.085589161935629043e-01,4.572177057153781199e-02,1.003200926908277335e+00,1.003200926908277335e+00,0.000000000000000000e+00
