score_max_nrmse,alpha,beta,delta,rho,gamma,sigma_eps,ti_k_oob_frac,ti_a_oob_frac,nn_k_oob_frac,nn_a_oob_frac,mean_nrmse,nrmse_c,nrmse_k,nrmse_y,nrmse_i,nrmse_A
12.149739761023746,0.2594765999074044,0.9688467281493284,0.04257211270280233,0.8520264267506094,1.5945978968776842,0.006464836472296522,0.0,0.0,0.0,0.0,4.746833441337268,3.267819445532191,12.149739761023746,3.8981418876867777,4.4184661124436255,0.0
10.966781558865701,0.39751659457012845,0.9773533878891015,0.08088637281126437,0.8591894343101285,1.2437625080480945,0.008591630858426543,0.0,0.0,0.0,0.0,4.55803415514404,2.474786935411024,10.966781558865701,4.0989853499112066,5.249616931532266,0.0
10.18217907933304,0.38153465995628666,0.9887203701252437,0.08062703749287459,0.8727625591720324,3.834272860871983,0.01457868596214596,0.0,0.0,0.0,0.0,5.062122391225235,3.645347895377312,10.18217907933304,5.230307359987623,6.252777621428198,0.0
8.536394739375105,0.4292806431369006,0.9778221225984397,0.048358573522498435,0.9523052710919755,3.5314460075838503,0.017503938063451754,0.0,0.0,0.885,0.0,5.237248550510536,5.081362796008824,8.536394739375105,5.807508636422745,6.760976580746007,0.0
6.774472331337616,0.35690474364796476,0.9774479478944222,0.034011598676169215,0.9631661169566658,2.465861900821583,0.03984022026386025,0.0,0.0,0.845,0.0,3.016970723313077,2.8427473226815914,6.774472331337616,2.641420762573967,2.826213199972213,0.0
5.011479318599666,0.23788468825482673,0.9785945653909246,0.04328647847341419,0.9282949547987132,0.6060313156431452,0.02429628140084088,0.0,0.0,0.0,0.0,2.0013207224778324,0.9576192586166826,5.011479318599666,1.4792206241141543,2.5582844110586573,0.0
4.5780732382867475,0.39926088829586615,0.9778699541559362,0.058926926432869446,0.8600081529272755,2.3446472941060392,0.031245728456797614,0.0,0.005,0.1,0.005,2.309478807764908,2.101342632721923,4.5780732382867475,2.345766902207331,2.5222112656085405,0.0
4.443562208070574,0.302147744998029,0.9520916146966123,0.02914558752584429,0.9354202759622425,2.2093434092112836,0.038474559829384546,0.0,0.0,0.0,0.0,1.7747002557808584,1.6328096874091917,4.443562208070574,1.5107268514294274,1.2864025319950994,0.0
2.3919114837320747,0.41464935538983855,0.9144748237976095,0.06684598092093497,0.9803511089456464,2.7417847789140315,0.01678104599406949,0.0,0.0,0.33,0.0,1.2339352904055871,0.6061057754950369,2.3919114837320747,0.9678735684466062,2.203785624354218,0.0
2.213720998345696,0.37202460339546173,0.9134147387119826,0.11622014654473992,0.884124314639857,1.5261344905737086,0.015341964703021268,0.0,0.0,0.0,0.0,0.9685348546159597,0.5326611216814119,2.213720998345696,0.8159344620417167,1.280357691010974,0.0
2.098074035226292,0.315510955512445,0.9469740180072939,0.055365817910954504,0.9205489522069122,1.1304233143041975,0.03468372567839128,0.0,0.0,0.0,0.0,0.7966123358231392,0.5025848623862484,2.098074035226292,0.6271223707516379,0.7552804107515175,0.0
1.770461795618301,0.4401384320937576,0.9489134482740095,0.10832513929323728,0.8713216909849069,2.9089073697243997,0.011526100319810148,0.0,0.0,0.0,0.0,0.9184265597205746,0.5562466456076167,1.770461795618301,0.9171988568819482,1.3482255004950068,0.0
1.6746258228210649,0.24481026943229184,0.9706206125969302,0.13640512735957228,0.8553877155083108,2.112570141253041,0.019188736709564214,0.0,0.0,0.0,0.0,0.7299824948647882,0.20620484571401926,1.6746258228210649,0.5372051712694966,1.2318766345193601,0.0
1.5815007446282643,0.2599046384965471,0.9376905410930628,0.03859230174230887,0.9140900297596067,2.7843442899285424,0.022722356810197644,0.0,0.0,0.0,0.0,0.6077199773374652,0.47648301613490723,1.5815007446282643,0.4722831838389354,0.5083329420852187,0.0
1.5688983175865905,0.39978128215502073,0.9466348533167442,0.05010223122621878,0.9196904555896911,1.080663976342606,0.0312226088276894,0.0,0.0,0.0,0.0,0.7263140150564764,0.527198628493465,1.5688983175865905,0.6736672092140882,0.8618059199882384,0.0
1.4870921652473688,0.3705879658120359,0.9048438916922,0.04864678346043948,0.8746268261519042,1.145301337445344,0.041544252799509816,0.0,0.0,0.045,0.0,0.5815195594210157,0.4671100172420326,1.4870921652473688,0.47002162833594124,0.4833739862797363,0.0
