t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,1.129020993671876694e+00,1.148330025293494261e+00,-1.930903162161756725e-02,2.635829709977413060e+00,2.635829709977413060e+00,0.000000000000000000e+00,1.387241273636408811e+00,1.387241273636408811e+00,0.000000000000000000e+00,2.582202799645321178e-01,2.389112483429145506e-01,1.930903162161756725e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.135138388124486752e+00,1.150725239713061621e+00,-1.558685158857486819e-02,2.655654007140872075e+00,2.636344975519254952e+00,1.930903162161712316e-02,1.396044339741003393e+00,1.392608024643233966e+00,3.436315097769426785e-03,2.609059516165166404e-01,2.418827849301723454e-01,1.902316668634429497e-02,1.003802384151555982e+00,1.003802384151555982e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.113153897480514187e+00,1.124130965230219381e+00,-1.097706774970519383e-02,2.676370979698730501e+00,2.639785174776103638e+00,3.658580492262686334e-02,1.336332070280213946e+00,1.330134616810882298e+00,6.197453469331648535e-03,2.231781727996997589e-01,2.060036515806629165e-01,1.717452121903684237e-02,9.583489232320253626e-01,9.583489232320253626e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.098647244096976339e+00,1.104991131906657653e+00,-6.343887809681314494e-03,2.657486439709971116e+00,2.607035093996020514e+00,5.045134571395060163e-02,1.305614966342368399e+00,1.297190865604712195e+00,8.424100737656203819e-03,2.069677222453920606e-01,1.921997336980545423e-01,1.476798854733751831e-02,9.385619888070285688e-01,9.385619888070285688e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.096379329455543505e+00,1.100146225979563575e+00,-3.766896524020069137e-03,2.624099449669867745e+00,2.563443156070723372e+00,6.065629359914437302e-02,1.311006007605663992e+00,1.300692392872677239e+00,1.031361473298675335e-02,2.146266781501204868e-01,2.005461668931136643e-01,1.408051125700682249e-02,9.464700216769967867e-01,9.464700216769967867e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.126381472404284878e+00,1.129266914482817796e+00,-2.885442078532918231e-03,2.601391081134759808e+00,2.532140297120888839e+00,6.925078401387096960e-02,1.390818530918461526e+00,1.378202746461450579e+00,1.261578445701094786e-02,2.644370585141766483e-01,2.489358319786327822e-01,1.550122653554386609e-02,1.007041620481955668e+00,1.007041620481955668e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.131164514017645839e+00,1.132793632168842768e+00,-1.629118151196928821e-03,2.630546937267170815e+00,2.552058270913414972e+00,7.848866635375584266e-02,1.393791756463441001e+00,1.379605868231249977e+00,1.418588823219102402e-02,2.626272424457951615e-01,2.468122360624072087e-01,1.581500638338795284e-02,1.005402921318225173e+00,1.005402921318225173e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.135011663016247230e+00,1.135393676653207784e+00,-3.820136369605542370e-04,2.655255994012140519e+00,2.568051180007532075e+00,8.720481400460844412e-02,1.395858046501923466e+00,1.380204381791045209e+00,1.565366471087825673e-02,2.608463834856762364e-01,2.448107051378374255e-01,1.603567834783881096e-02,1.003719239207425229e+00,1.003719239207425229e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.105847279512516712e+00,1.103173073983330088e+00,2.674205529186624020e-03,2.675949396489651466e+00,2.580596089436360430e+00,9.535330705329103651e-02,1.317925889974237430e+00,1.301874894870582944e+00,1.605099510365448623e-02,2.120786104617207180e-01,1.987018208872528557e-01,1.337678957446786221e-02,9.451992384344186648e-01,9.451992384344186648e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.070131051290809321e+00,1.061001530151156391e+00,9.129521139652929662e-03,2.646003423994700121e+00,2.545897498064409792e+00,1.001059259302903293e-01,1.233231224765438450e+00,1.217272703961268965e+00,1.595852080416948482e-02,1.631001734746291287e-01,1.562711738101125736e-01,6.828999664516555157e-03,8.878252413218553629e-01,8.878252413218553629e-01,0.000000000000000000e+00
1.000000000000000000e+01,1.065528540968534443e+00,1.057184534947904320e+00,8.344006020630123643e-03,2.569787459415925124e+00,2.471906552184301997e+00,9.788090723162312656e-02,1.249648816629266079e+00,1.233366902056036274e+00,1.628191457322980540e-02,1.841202756607316360e-01,1.761823671081319542e-01,7.937908552599681755e-03,9.085685467676689608e-01,9.085685467676689608e-01,0.000000000000000000e+00
1.100000000000000000e+01,1.074749410450450471e+00,1.067841231922503242e+00,6.908178527947228531e-03,2.521484902653775784e+00,2.424518864796979756e+00,9.696603785679602794e-02,1.290576733432703627e+00,1.273597495519899869e+00,1.697923791280375738e-02,2.158273229822531558e-01,2.057562635973966270e-01,1.007105938485652885e-02,9.443579427747309518e-01,9.443579427747309518e-01,0.000000000000000000e+00
1.200000000000000000e+01,1.104447973573757125e+00,1.098121709441440164e+00,6.326264132316961053e-03,2.509258087991694808e+00,2.410991023884465179e+00,9.826706410722962914e-02,1.365860141515067960e+00,1.347556198950556672e+00,1.830394256451128854e-02,2.614121679413108357e-01,2.494344895091165082e-01,1.197767843219432748e-02,1.001087357795267252e+00,1.001087357795267252e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.100803021761018963e+00,1.094619171904998023e+00,6.183849856020939839e-03,2.543721964955039994e+00,2.442364926062078556e+00,1.013570388929614374e-01,1.347220648871223947e+00,1.328846793827777484e+00,1.837385504344646314e-02,2.464176271102049842e-01,2.342276219227794609e-01,1.219000518742552330e-02,9.828872958728774867e-01,9.828872958728774867e-01,0.000000000000000000e+00
1.400000000000000000e+01,1.138144407120050161e+00,1.131549411561969753e+00,6.594995558080407605e-03,2.560074237117360596e+00,2.455694367535853129e+00,1.043798695815074673e-01,1.429436905968820781e+00,1.409482261711074491e+00,1.995464425774629014e-02,2.912924988487706202e-01,2.779328501491047376e-01,1.335964869966588253e-02,1.040615129370022762e+00,1.040615129370022762e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.161149151312243166e+00,1.155184336613290563e+00,5.964814698952602967e-03,2.619822409907780258e+00,2.511523464171690811e+00,1.082989457360894470e-01,1.466043054318168393e+00,1.445289236053952653e+00,2.075381826421573983e-02,3.048939030059252264e-01,2.901048994406620896e-01,1.478900356526313686e-02,1.058980977133024526e+00,1.058980977133024526e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.219970293963532626e+00,1.212316898596792480e+00,7.653395366740145533e-03,2.687768100436203955e+00,2.574475182091268799e+00,1.132929183449351562e-01,1.580384492360765281e+00,1.557565656045422964e+00,2.281883631534231682e-02,3.604141983972326546e-01,3.452487574486304833e-01,1.516544094860217129e-02,1.131745488671363153e+00,1.131745488671363153e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.218504091637780506e+00,1.215841685263630234e+00,2.662406374150272370e-03,2.805088780530863524e+00,2.686877128947997573e+00,1.182116515828659509e-01,1.549696495815896302e+00,1.527325841562157338e+00,2.237065425373896410e-02,3.311924041781157957e-01,3.114841562985271040e-01,1.970824787958869173e-02,1.093871582845581836e+00,1.093871582845581836e+00,0.000000000000000000e+00
1.800000000000000000e+01,1.214349501208792592e+00,1.213176538297231488e+00,1.172962911561103994e-03,2.882576670283179432e+00,2.755348350307427197e+00,1.272283199757522354e-01,1.520842690908219774e+00,1.497833439121968313e+00,2.300925178625146117e-02,3.064931896994271820e-01,2.846569008247368249e-01,2.183628887469035718e-02,1.063671014813230675e+00,1.063671014813230675e+00,0.000000000000000000e+00
1.900000000000000000e+01,1.187363656172060189e+00,1.185452625027181739e+00,1.911031144878450050e-03,2.928357001443087970e+00,2.790799479058033050e+00,1.375575223850549200e-01,1.444543272514715371e+00,1.421260793218707574e+00,2.328247929600779642e-02,2.571796163426551818e-01,2.358081681915258354e-01,2.137144815112934637e-02,1.004945522047341333e+00,1.004945522047341333e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.192564449850829211e+00,1.188605019833395504e+00,3.959430017433707150e-03,2.920683185597436449e+00,2.774195519830120027e+00,1.464876657673164217e-01,1.459286611334484896e+00,1.434146278114650785e+00,2.514033321983411007e-02,2.667221614836556842e-01,2.455412582812552813e-01,2.118090320240040292e-02,1.016102258197733477e+00,1.016102258197733477e+00,0.000000000000000000e+00
2.100000000000000000e+01,1.228862692252665090e+00,1.223028114905570396e+00,5.834577347094693778e-03,2.923245968405966622e+00,2.768826385482899610e+00,1.544195829230670114e-01,1.544422154011674486e+00,1.516373189814011146e+00,2.804896419766333970e-02,3.155594617590093964e-01,2.933450749084407505e-01,2.221438685056864593e-02,1.075063707474172681e+00,1.075063707474172681e+00,0.000000000000000000e+00
2.200000000000000000e+01,1.244429241047121160e+00,1.238634918779057514e+00,5.794322268063645254e-03,2.974414262188731506e+00,2.811746675787787808e+00,1.626675864009436978e-01,1.568034810953749192e+00,1.538532984715917262e+00,2.950182623783192959e-02,3.236055699066280322e-01,2.998980659368597479e-01,2.370750396976828434e-02,1.085122557576069235e+00,1.085122557576069235e+00,0.000000000000000000e+00
2.300000000000000000e+01,1.217708891780438840e+00,1.212447652750941574e+00,5.261239029497266628e-03,3.029000779533695287e+00,2.857338058093016997e+00,1.716627214406782898e-01,1.490923154969470144e+00,1.461834488971945900e+00,2.908866599752424342e-02,2.732142631890313034e-01,2.493868362210043266e-01,2.382742696802697679e-02,1.025441917334416031e+00,1.025441917334416031e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.290219045099698647e+00,1.281003986634517311e+00,9.215058465181336089e-03,3.028258946466288570e+00,2.848294726395536713e+00,1.799642200707518569e-01,1.660434652636519459e+00,1.626431284918371967e+00,3.400336771814749248e-02,3.702156075368208121e-01,3.454272982838546557e-01,2.478830925296615639e-02,1.142124690605912152e+00,1.142124690605912152e+00,0.000000000000000000e+00
2.500000000000000000e+01,1.293506055084982842e+00,1.287635339876792573e+00,5.870715208190269152e-03,3.124585552378206899e+00,2.936109775285633994e+00,1.884757770925729048e-01,1.646547169690318890e+00,1.612311498183970571e+00,3.423567150634831968e-02,3.530411146053360483e-01,3.246761583071779977e-01,2.836495629815805053e-02,1.120658067916579848e+00,1.120658067916579848e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.273387434424820164e+00,1.269111442202928597e+00,4.275992221891566913e-03,3.195025465249756280e+00,2.995231306584281050e+00,1.997941586654752300e-01,1.582684399027142641e+00,1.548543215329282408e+00,3.414118369786023344e-02,3.092969646023224772e-01,2.794317731263538107e-01,2.986519147596866652e-02,1.069112725651026885e+00,1.069112725651026885e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.253129676299291395e+00,1.247072123437853675e+00,6.057552861437720537e-03,3.215350333900858892e+00,3.003761242483897309e+00,2.115890914169615833e-01,1.528664328235020076e+00,1.493922838382062634e+00,3.474148985295744119e-02,2.755346519357286805e-01,2.468507149442089599e-01,2.868393699151972065e-02,1.030412782919217340e+00,1.030412782919217340e+00,0.000000000000000000e+00
2.800000000000000000e+01,1.222252143672471369e+00,1.211900783435177154e+00,1.035136023729421595e-02,3.200074619750145288e+00,2.978938635441058302e+00,2.211359843090869859e-01,1.454893025257889105e+00,1.420131221042997938e+00,3.476180421489116767e-02,2.326408815854177359e-01,2.082304376078207842e-01,2.441044397759695173e-02,9.822649278815051010e-01,9.822649278815051010e-01,0.000000000000000000e+00
2.900000000000000000e+01,1.199438169590533398e+00,1.184533083525820318e+00,1.490508606471308006e-02,3.143286737738145042e+00,2.917740816355413713e+00,2.255459213827313292e-01,1.412009576533178823e+00,1.376945365422471035e+00,3.506421111070778807e-02,2.125714069426454245e-01,1.924122818966507165e-01,2.015912504599470800e-02,9.590944115728327057e-01,9.590944115728327057e-01,0.000000000000000000e+00
3.000000000000000000e+01,1.176411089053332804e+00,1.157486668155934151e+00,1.892442089739865274e-02,3.071565525839687893e+00,2.846259840337533653e+00,2.253056855021542404e-01,1.373063300882412241e+00,1.338187684175651038e+00,3.487561670676120329e-02,1.966522118290794374e-01,1.807010160197168869e-01,1.595119580936255055e-02,9.399389593671122478e-01,9.399389593671122478e-01,0.000000000000000000e+00
3.100000000000000000e+01,1.166151490697516779e+00,1.145853831073191831e+00,2.029765962432494852e-02,2.990411899340645441e+00,2.769532650970528476e+00,2.208792483701169651e-01,1.371930102312671762e+00,1.336834496412670603e+00,3.509560590000115887e-02,2.057786116151549827e-01,1.909806653394787723e-01,1.479794627567621035e-02,9.476944562021402119e-01,9.476944562021402119e-01,0.000000000000000000e+00
3.200000000000000000e+01,1.175068201512192712e+00,1.155443194604979240e+00,1.962500690721347141e-02,2.925724562027163245e+00,2.710024653962606500e+00,2.156999080645567446e-01,1.414902185633095222e+00,1.378776270422819028e+00,3.612591521027619379e-02,2.398339841209025103e-01,2.233330758178397879e-01,1.650090830306272238e-02,9.846237076635506735e-01,9.846237076635506735e-01,0.000000000000000000e+00
3.300000000000000000e+01,1.151748875167881714e+00,1.130381338932166857e+00,2.136753623571485683e-02,2.900943203309517937e+00,2.688251231302557720e+00,2.126919720069602171e-01,1.362908886444872403e+00,1.328307579733380761e+00,3.460130671149164172e-02,2.111600112769906890e-01,1.979262408012139041e-01,1.323377047577678489e-02,9.511703449301394109e-01,9.511703449301394109e-01,0.000000000000000000e+00
3.400000000000000000e+01,1.154034811002124572e+00,1.133293331053030650e+00,2.074147994909392168e-02,2.849729206362361822e+00,2.643040257329734466e+00,2.066889490326273560e-01,1.384891417955740556e+00,1.350119961436213156e+00,3.477145651952739946e-02,2.308566069536159837e-01,2.168266303831825059e-01,1.402997657043347779e-02,9.723434128888874817e-01,9.723434128888874817e-01,0.000000000000000000e+00
3.500000000000000000e+01,1.151689042079178993e+00,1.131239055450408593e+00,2.044998662877040019e-02,2.822843823271599106e+00,2.620818751430121551e+00,2.020250718414775548e-01,1.387200444024869084e+00,1.352844283753316335e+00,3.435616027155274921e-02,2.355114019456900909e-01,2.216052283029077419e-01,1.390617364278234902e-02,9.770875415746873571e-01,9.770875415746873571e-01,0.000000000000000000e+00
3.600000000000000000e+01,1.130921875653708719e+00,1.109409009114716627e+00,2.151286653899209256e-02,2.803044866966362125e+00,2.605385653764688669e+00,1.976592132016734560e-01,1.340563021954122913e+00,1.307862021402569797e+00,3.270100055155311658e-02,2.096411463004141940e-01,1.984530122878531699e-01,1.118813401256102402e-02,9.464852142127687662e-01,9.464852142127687662e-01,0.000000000000000000e+00
3.700000000000000000e+01,1.125902558115478236e+00,1.104835605823632161e+00,2.106695229184607498e-02,2.759166359335235796e+00,2.568196177027569860e+00,1.909701823076659366e-01,1.341956205452198292e+00,1.309840710612266923e+00,3.211549483993136889e-02,2.160536473367200561e-01,2.050051047886347622e-01,1.104854254808529390e-02,9.525308501590795673e-01,9.525308501590795673e-01,0.000000000000000000e+00
3.800000000000000000e+01,1.107475799554773266e+00,1.085488251440080321e+00,2.198754811469294523e-02,2.725668917140068537e+00,2.540922371941677138e+00,1.847465451983913987e-01,1.305300165687939717e+00,1.274723894768771126e+00,3.057627091916859108e-02,1.978243661331664516e-01,1.892356433286908057e-01,8.588722804475645844e-03,9.303420050302599886e-01,9.303420050302599886e-01,0.000000000000000000e+00
3.900000000000000000e+01,1.103802876641874819e+00,1.082897962007881576e+00,2.090491463399324346e-02,2.676971849118253033e+00,2.500345867775657815e+00,1.766259813425952174e-01,1.312332711340906011e+00,1.282427117620697166e+00,2.990559372020884510e-02,2.085298346990311913e-01,1.995291556128155896e-01,9.000679086215601643e-03,9.410664647120803306e-01,9.410664647120803306e-01,0.000000000000000000e+00
4.000000000000000000e+01,1.125097478551831065e+00,1.106380734607665062e+00,1.871674394416600329e-02,2.643384625766968199e+00,2.473732792638640099e+00,1.696518331283281000e-01,1.375718272580863211e+00,1.345242644351125838e+00,3.047562822973737262e-02,2.506207940290321456e-01,2.388619097434607763e-01,1.175888428557136933e-02,9.907354776180739009e-01,9.907354776180739009e-01,0.000000000000000000e+00
4.100000000000000000e+01,1.107648790846364362e+00,1.089200836264101024e+00,1.844795458226333729e-02,2.654926137323552204e+00,2.488859474701787811e+00,1.660666626217643937e-01,1.329392665314333311e+00,1.300707211173980804e+00,2.868545414035250651e-02,2.217438744679689488e-01,2.115063749098797796e-01,1.023749955808916923e-02,9.559661053095921401e-01,9.559661053095921401e-01,0.000000000000000000e+00
4.200000000000000000e+01,1.142855777420714203e+00,1.125809373812299174e+00,1.704640360841502833e-02,2.636546864466906115e+00,2.475262498557027957e+00,1.612843659098781579e-01,1.419466143351169052e+00,1.389526126155607777e+00,2.994001719556127483e-02,2.766103659304548490e-01,2.637167523433086025e-01,1.289361358714624650e-02,1.023135459083482690e+00,1.023135459083482690e+00,0.000000000000000000e+00
4.300000000000000000e+01,1.213218913851399572e+00,1.194636886402925757e+00,1.858202744847381460e-02,2.674696385003421994e+00,2.515105669917292897e+00,1.595907150861290980e-01,1.568637724097834418e+00,1.536382597417431217e+00,3.225512668040320108e-02,3.554188102464348464e-01,3.417457110145054600e-01,1.367309923192938648e-02,1.125184452814663061e+00,1.125184452814663061e+00,0.000000000000000000e+00
4.400000000000000000e+01,1.233488918257622080e+00,1.219731207840262455e+00,1.375771041735962541e-02,2.788203940139665882e+00,2.629374209034520682e+00,1.588297311051451999e-01,1.587304092521857557e+00,1.556172362535419795e+00,3.113172998643776168e-02,3.538151742642354769e-01,3.364411546951573406e-01,1.737401956907813627e-02,1.122704209164286704e+00,1.122704209164286704e+00,0.000000000000000000e+00
4.500000000000000000e+01,1.247919758015787028e+00,1.237951490701368673e+00,9.968267314418355340e-03,2.889841738891613332e+00,2.728003244706272312e+00,1.618384941853410197e-01,1.596174710005442643e+00,1.565408126735916339e+00,3.076658326952630418e-02,3.482549519896556145e-01,3.274566360345476657e-01,2.079831595510794884e-02,1.115409304941408886e+00,1.115409304941408886e+00,0.000000000000000000e+00
4.600000000000000000e+01,1.268058675788891199e+00,1.260111775029770564e+00,7.946900759120634206e-03,2.976726747718843935e+00,2.808727319777373221e+00,1.679994279414707137e-01,1.621807670005429580e+00,1.590299389662556795e+00,3.150828034287278534e-02,3.537489942165383816e-01,3.301876146327862305e-01,2.356137958375215113e-02,1.122040301827512909e+00,1.122040301827512909e+00,0.000000000000000000e+00
4.700000000000000000e+01,1.262911524387153372e+00,1.257650059132129794e+00,5.261465255023578536e-03,3.061247538054655770e+00,2.884881334559626254e+00,1.763662034950295165e-01,1.590174633677270188e+00,1.558624943961665510e+00,3.154968971560467850e-02,3.272631092901168159e-01,3.009748848295357160e-01,2.628822446058109996e-02,1.089801582958638493e+00,1.089801582958638493e+00,0.000000000000000000e+00
4.800000000000000000e+01,1.279202929566554792e+00,1.273640068322619889e+00,5.562861243934902333e-03,3.111638013020396443e+00,2.924934916919017081e+00,1.867030961013793622e-01,1.616317552520445178e+00,1.582891691744701124e+00,3.342586077574405401e-02,3.371146229538903860e-01,3.092516234220812343e-01,2.786299953180915168e-02,1.101627228548814008e+00,1.101627228548814008e+00,0.000000000000000000e+00
4.900000000000000000e+01,1.259434653160213191e+00,1.254419921599257748e+00,5.014731560955443257e-03,3.167322466404822734e+00,2.969642616464446050e+00,1.976798499403766840e-01,1.556038562806481673e+00,1.522538313828386780e+00,3.350024897809489310e-02,2.966039096462684821e-01,2.681183922291290322e-01,2.848551741713944985e-02,1.054209202382027533e+00,1.054209202382027533e+00,0.000000000000000000e+00
