t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,8.541433434704160943e-01,8.528257665410550192e-01,1.317576929361075067e-03,8.906838764841019662e-01,8.906838764841019662e-01,0.000000000000000000e+00,9.768726012549850957e-01,9.768726012549850957e-01,0.000000000000000000e+00,1.227292577845690014e-01,1.240468347139300764e-01,-1.317576929361075067e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.704071918802275265e-01,8.693884156627103010e-01,1.018776217517225469e-03,8.893834986724159508e-01,8.907010756017770259e-01,-1.317576929361075067e-03,1.003897857069379729e+00,1.004198283332725872e+00,-3.004262633461429743e-04,1.334906651891522023e-01,1.348098676700155707e-01,-1.319202480863368443e-03,1.027968603771038936e+00,1.027968603771038936e+00,0.000000000000000000e+00
2.000000000000000000e+00,8.736541626416565176e-01,8.730726365190296656e-01,5.815261226268519934e-04,8.990256086580082906e-01,9.014789126616005177e-01,-2.453304003592227112e-03,1.004805799050206616e+00,1.005359413141118763e+00,-5.536140909121467502e-04,1.311516364085500985e-01,1.322867766220890973e-01,-1.135140213538998744e-03,1.026658271191233984e+00,1.026658271191233984e+00,0.000000000000000000e+00
3.000000000000000000e+00,8.682605334305715239e-01,8.680203586564004814e-01,2.401747741710424933e-04,9.049860054162868206e-01,9.082328218015846000e-01,-3.246816385297779384e-03,9.932281814602490488e-01,9.939474021468921450e-01,-7.192206866430961298e-04,1.249676480296775249e-01,1.259270434904916636e-01,-9.593954608141386231e-04,1.013474335402905213e+00,1.013474335402905213e+00,0.000000000000000000e+00
4.000000000000000000e+00,8.613856400202021257e-01,8.614697740363714829e-01,-8.413401616935711758e-05,9.039324157936445836e-01,9.076865015108924739e-01,-3.754085717247890308e-03,9.825730235008111046e-01,9.833964648679573983e-01,-8.234413671462936790e-04,1.211873834806089789e-01,1.219266908315859155e-01,-7.393073509769365614e-04,1.002838072079969445e+00,1.002838072079969445e+00,0.000000000000000000e+00
5.000000000000000000e+00,8.642261068335082008e-01,8.643295285712436771e-01,-1.034217377354762490e-04,8.992452762312520553e-01,9.032159048307346616e-01,-3.970628599482606269e-03,9.892606675491690815e-01,9.901420129601963271e-01,-8.813454110272456177e-04,1.250345607156608807e-01,1.258124843889526501e-01,-7.779236732917693686e-04,1.010725153128663401e+00,1.010725153128663401e+00,0.000000000000000000e+00
6.000000000000000000e+00,8.619598164047829192e-01,8.621907785046528661e-01,-2.309620998699468686e-04,8.990580081170445048e-01,9.032536418613889007e-01,-4.195633744344395843e-03,9.856701170692194758e-01,9.865981264958449959e-01,-9.280094266255201063e-04,1.237103006644365566e-01,1.244073479911921298e-01,-6.970473267555732377e-04,1.007099091407362979e+00,1.007099091407362979e+00,0.000000000000000000e+00
7.000000000000000000e+00,8.503830731078362293e-01,8.510926464146605364e-01,-7.095733068243070818e-04,8.975725574372136473e-01,9.018809875320182856e-01,-4.308430094804638344e-03,9.679951345142275843e-01,9.689325034937049663e-01,-9.373689794773820694e-04,1.176120614063913550e-01,1.178398570790444300e-01,-2.277956726530749876e-04,9.893704692876533757e-01,9.893704692876533757e-01,0.000000000000000000e+00
8.000000000000000000e+00,8.524969153048216342e-01,8.528531041336976370e-01,-3.561888288760028942e-04,8.901957196849220599e-01,8.941319873429324216e-01,-3.936267658010361714e-03,9.744803210572120511e-01,9.753497326204453310e-01,-8.694115632332799493e-04,1.219834057523904169e-01,1.224966284867476940e-01,-5.132227343572770550e-04,9.976616259000625764e-01,9.976616259000625764e-01,0.000000000000000000e+00
9.000000000000000000e+00,8.514928565307601227e-01,8.518561272627442893e-01,-3.632707319841665949e-04,8.882174667198521334e-01,8.921188234184119770e-01,-3.901356698559843572e-03,9.737583394578969154e-01,9.746213296189992770e-01,-8.629901611023615970e-04,1.222654829271367927e-01,1.227652023562549877e-01,-4.997194291181950021e-04,9.973708599632935545e-01,9.973708599632935545e-01,0.000000000000000000e+00
1.000000000000000000e+01,8.524206960822328094e-01,8.527150918999322204e-01,-2.943958176994110332e-04,8.867967668877815290e-01,8.906545707474540219e-01,-3.857803859672492841e-03,9.758468722038577958e-01,9.767034430430493464e-01,-8.565708391915505260e-04,1.234261761216249864e-01,1.239883511431171259e-01,-5.621750214921394928e-04,9.998334863463403943e-01,9.998334863463403943e-01,0.000000000000000000e+00
1.100000000000000000e+01,8.461461432526667936e-01,8.467495493885766056e-01,-6.034061359098119581e-04,8.867345957416857827e-01,8.906173671808499392e-01,-3.882771439164156568e-03,9.660334921644346817e-01,9.668869872247201069e-01,-8.534950602854252111e-04,1.198873489117678881e-01,1.201374378361435014e-01,-2.500889243756132529e-04,9.897929166029352244e-01,9.897929166029352244e-01,0.000000000000000000e+00
1.200000000000000000e+01,8.516212225105987965e-01,8.518049706142730715e-01,-1.837481036742749652e-04,8.831422548508544024e-01,8.867344309835263338e-01,-3.592176132671931477e-03,9.761856449176399275e-01,9.769869054887467819e-01,-8.012605711068543357e-04,1.245644224070411310e-01,1.251819348744737104e-01,-6.175124674325793706e-04,1.001015764801780339e+00,1.001015764801780339e+00,0.000000000000000000e+00
1.300000000000000000e+01,8.458852742336488983e-01,8.464023361511323618e-01,-5.170619174834634180e-04,8.847272286108742723e-01,8.884366989983268903e-01,-3.709470387452618034e-03,9.664876503733673685e-01,9.673053458307474539e-01,-8.176954573800854220e-04,1.206023761397184701e-01,1.209030096796150922e-01,-3.006335398966220041e-04,9.907119680806621975e-01,9.907119680806621975e-01,0.000000000000000000e+00
1.400000000000000000e+01,8.477719044984073360e-01,8.480652635535174122e-01,-2.933590551100762056e-04,8.821294451161212358e-01,8.856229973548657153e-01,-3.493552238744479510e-03,9.705502508887222657e-01,9.713259367004466460e-01,-7.756858117243803363e-04,1.227783463903149297e-01,1.232606731469292338e-01,-4.823267566143041307e-04,9.954678857144906301e-01,9.954678857144906301e-01,0.000000000000000000e+00
1.500000000000000000e+01,8.408010582434072289e-01,8.414691788339964118e-01,-6.681205905891829389e-04,8.820693787820850229e-01,8.855587731530468742e-01,-3.489394370961851344e-03,9.597173642319871689e-01,9.604835327968921366e-01,-7.661685649049676528e-04,1.189163059885799401e-01,1.190143539628957248e-01,-9.804797431578471389e-05,9.843704269379750516e-01,9.843704269379750516e-01,0.000000000000000000e+00
1.600000000000000000e+01,8.490673995767482607e-01,8.491014578948749003e-01,-3.405831812663961955e-05,8.781556364118522362e-01,8.812571731247181850e-01,-3.101536712865948786e-03,9.743284306776086590e-01,9.750230034003372070e-01,-6.945727227285480865e-04,1.252610311008603983e-01,1.259215455054623067e-01,-6.605144046019084669e-04,1.000255465771663133e+00,1.000255465771663133e+00,0.000000000000000000e+00
