t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,2.764946765346833590e+00,2.731585194851872345e+00,3.336157049496124571e-02,2.338147926330566406e+01,2.338146849447651476e+01,1.076882914929910839e-05,3.869280776192649540e+00,3.869280011180888934e+00,7.650117606061712650e-07,1.104334010845815950e+00,1.137694816329016589e+00,-3.336080548320063954e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.754605948936751147e+00,2.721782980399613194e+00,3.282296853713795315e-02,2.335511829013213969e+01,2.338846884755140820e+01,-3.335055741926851169e-02,3.840424200409273681e+00,3.842777431926878151e+00,-2.353231517604470469e-03,1.085818251472522533e+00,1.120994451527264957e+00,-3.517620005474242362e-02,9.930228960929541326e-01,9.930228960929541326e-01,0.000000000000000000e+00
2.000000000000000000e+00,2.766789352062949181e+00,2.737503073570454859e+00,2.928627849249432202e-02,2.331151633664465805e+01,2.337843030873569816e+01,-6.691397209104010813e-02,3.880455580468542554e+00,3.885233237447335064e+00,-4.777656978792510500e-03,1.113666228405593372e+00,1.147730163876880205e+00,-3.406393547128683252e-02,1.004179063628881208e+00,1.004179063628881208e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.781827861701892335e+00,2.755937163270214985e+00,2.589069843167735030e-02,2.329787088836369691e+01,2.339561293168697631e+01,-9.774204332327940392e-02,3.926412139248328437e+00,3.933475042732558880e+00,-7.062903484230442785e-03,1.144584277546436102e+00,1.177537879462343895e+00,-3.295360191590779309e-02,1.016327065681186248e+00,1.016327065681186248e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.753237458938616822e+00,2.725077871357812320e+00,2.815958758080450153e-02,2.331580336363752082e+01,2.344177234308842372e+01,-1.259689794509029070e-01,3.839517041501004702e+00,3.848408294027281684e+00,-8.891252526276982593e-03,1.086279582562387880e+00,1.123330422669469364e+00,-3.705084010708148412e-02,9.935066150143445629e-01,9.935066150143445629e-01,0.000000000000000000e+00
5.000000000000000000e+00,2.761889382716389285e+00,2.736685866510000231e+00,2.520351620638905388e-02,2.327456395500332675e+01,2.343149209440698399e+01,-1.569281394036572408e-01,3.868759379954733291e+00,3.879935700258478004e+00,-1.117632030374471341e-02,1.106869997238344006e+00,1.143249833748477773e+00,-3.637983651013376729e-02,1.001834370135006314e+00,1.001834370135006314e+00,0.000000000000000000e+00
6.000000000000000000e+00,2.791157676934441056e+00,2.770827544676277121e+00,2.033013225816393543e-02,2.325590924001954818e+01,2.344162839496624073e+01,-1.857191549466925551e-01,3.957150963437523927e+00,3.970686036490987281e+00,-1.353507305346335343e-02,1.165993286503082871e+00,1.199858491814710160e+00,-3.386520531162728886e-02,1.025076587794832017e+00,1.025076587794832017e+00,0.000000000000000000e+00
7.000000000000000000e+00,2.773309900918170978e+00,2.751943803812784584e+00,2.136609710538639462e-02,2.329727992970659756e+01,2.350788317655589310e+01,-2.106032468492955445e-01,3.901097965078308860e+00,3.916197777023503690e+00,-1.509981194519482983e-02,1.127788064160137882e+00,1.164253973210719106e+00,-3.646590905058122445e-02,1.009785646536674575e+00,1.009785646536674575e+00,0.000000000000000000e+00
8.000000000000000000e+00,2.764926595214560301e+00,2.743791691531489274e+00,2.113490368307102685e-02,2.329844476951178933e+01,2.353532945281482824e+01,-2.368846833030389121e-01,3.875930054301223837e+00,3.892798384368946429e+00,-1.686833006772259225e-02,1.111003459086663536e+00,1.149006692837457155e+00,-3.800323375079361909e-02,1.003249487300576837e+00,1.003249487300576837e+00,0.000000000000000000e+00
9.000000000000000000e+00,2.748755092762879659e+00,2.726983986950373584e+00,2.177110581250607524e-02,2.328276867425215002e+01,2.354620118593211586e+01,-2.634325116799658417e-01,3.828805180493551674e+00,3.847342337294975767e+00,-1.853715680142409283e-02,1.080050087730672015e+00,1.120358350344602183e+00,-4.030826261393016807e-02,9.913380290763053049e-01,9.913380290763053049e-01,0.000000000000000000e+00
