t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,9.225574442047002055e-01,9.226765399308403115e-01,-1.190957261401059952e-04,1.978154829653880897e+00,1.978154829653880897e+00,0.000000000000000000e+00,1.207242683768622538e+00,1.207242683768622538e+00,0.000000000000000000e+00,2.846852395639223321e-01,2.845661438377822261e-01,1.190957261401059952e-04,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.374300501699447397e-01,9.384979527660299858e-01,-1.067902596085246181e-03,1.978852478365398460e+00,1.978733382639258354e+00,1.190957261401059952e-04,1.234242960882990792e+00,1.234222451906581419e+00,2.050897640937243693e-05,2.968129107130460520e-01,2.957244991405514334e-01,1.088411572494618618e-03,1.022265718066047935e+00,1.022265718066047935e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.541116192825326303e-01,9.559507032149306971e-01,-1.839083932398066779e-03,1.991577642477927679e+00,1.990387232783505045e+00,1.190409694422633891e-03,1.262640217102247275e+00,1.262431804526968016e+00,2.084125752792598263e-04,3.085285978197146450e-01,3.064811013120373184e-01,2.047496507677326605e-03,1.043936709358073811e+00,1.043936709358073811e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.025314005932750572e+00,1.029263955827317112e+00,-3.949949894566540110e-03,2.014191645441698153e+00,2.011124636671981936e+00,3.067008769716217387e-03,1.386030952353755508e+00,1.385447939984542742e+00,5.830123692127653356e-04,3.607169464210049359e-01,3.561839841572256304e-01,4.532962263779305445e-03,1.142388067973285626e+00,1.142388067973285626e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.025413486968900223e+00,1.028877821712513851e+00,-3.464334743613628476e-03,2.085747488631914504e+00,2.078587823088453135e+00,7.159665543461368742e-03,1.376255382585059195e+00,1.374949447853219375e+00,1.305934731839819563e-03,3.508418956161589719e-01,3.460716261407055239e-01,4.770269475453448038e-03,1.123450578297370717e+00,1.123450578297370717e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.026013003585855454e+00,1.029056351354751042e+00,-3.043347768895587890e-03,2.137155590925297499e+00,2.126253510823761239e+00,1.090208010153626006e-02,1.370291850688707846e+00,1.368358365229813245e+00,1.933485458894601550e-03,3.442788471028523922e-01,3.393020138750622028e-01,4.976833227790189440e-03,1.111088171741217323e+00,1.111088171741217323e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.046306992930631674e+00,1.049374303920846074e+00,-3.067310990214400235e-03,2.174620401813493586e+00,2.160306611404225308e+00,1.431379040926827884e-02,1.400991147788974489e+00,1.398439063139589322e+00,2.552084649385166770e-03,3.546841548583428150e-01,3.490647592187432480e-01,5.619395639599567005e-03,1.130543037501599235e+00,1.130543037501599235e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.064407438007948903e+00,1.067457903423551624e+00,-3.050465415602721109e-03,2.217112002443126784e+00,2.199233730799015518e+00,1.787827164411126546e-02,1.427196633175989104e+00,1.424009909217653025e+00,3.186723958336079576e-03,3.627891951680402016e-01,3.565520057941014009e-01,6.237189373938800685e-03,1.145553060912633869e+00,1.145553060912633869e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.086492659646758563e+00,1.089635129323067941e+00,-3.142469676309378457e-03,2.261608470072776100e+00,2.240059647022949907e+00,2.154882304982619345e-02,1.460276995260119115e+00,1.456422248052311685e+00,3.854747207807429632e-03,3.737843356133605521e-01,3.667871187292437440e-01,6.997216884116808089e-03,1.165692602149923429e+00,1.165692602149923429e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.092659866533314927e+00,1.095465917114589960e+00,-2.806050581275032485e-03,2.310712082398294065e+00,2.285259631627286403e+00,2.545245077100766196e-02,1.464469177852629977e+00,1.459997668219138678e+00,4.471509633491299596e-03,3.718093113193150501e-01,3.645317511045487180e-01,7.277560214766332081e-03,1.162126884704345109e+00,1.162126884704345109e+00,0.000000000000000000e+00
