t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,1.048620853961319099e+00,1.051548505471784134e+00,-2.927651510465034690e-03,2.572382211685180664e+00,2.572382193841706854e+00,1.784347380962003626e-08,1.250097313392812604e+00,1.250097311344157802e+00,2.048654801356519783e-09,2.014764594314935042e-01,1.985488058723736682e-01,2.927653559119836046e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.046845112288327773e+00,1.049364838990492599e+00,-2.519726702164826193e-03,2.575474420755147875e+00,2.572546750728657905e+00,2.927670026489970212e-03,1.245704445196836652e+00,1.245369749940388626e+00,3.346952564480254466e-04,1.988593329085088790e-01,1.960049109498960274e-01,2.854421958612851640e-03,9.962031896530253450e-01,9.962031896530253450e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.049093776969366010e+00,1.051392764277054415e+00,-2.298987307688404869e-03,2.575711029573179989e+00,2.570154721929483799e+00,5.556307643696190013e-03,1.250688981376081754e+00,1.250051044680170476e+00,6.379366959112786617e-04,2.015952044067157445e-01,1.986582804031160610e-01,2.936924003599683530e-03,1.000167669008362070e+00,1.000167669008362070e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.049085319061446420e+00,1.051092040036911257e+00,-2.006720975464837409e-03,2.578665262421067972e+00,2.570600537829086374e+00,8.064724591981597968e-03,1.250269594176077081e+00,1.249344686016047756e+00,9.249081600293251881e-04,2.011842751146306618e-01,1.982526459791364992e-01,2.931629135494162597e-03,9.995615505815670376e-01,9.995615505815670376e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.045185958737845588e+00,1.046744278959537366e+00,-1.558320221691777974e-03,2.580980733088639845e+00,2.570606337612657555e+00,1.037439547598228984e-02,1.241162386986149890e+00,1.239981915827908621e+00,1.180471158241269691e-03,1.959764282483043019e-01,1.932376368683712542e-01,2.738791379933047665e-03,9.920701626094368120e-01,9.920701626094368120e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.048479095284092999e+00,1.049987702107386012e+00,-1.508606823293012766e-03,2.577909785870954540e+00,2.565596681001342638e+00,1.231310486961190165e-02,1.249027402074040394e+00,1.247615363617395223e+00,1.412038456645170470e-03,2.005483067899473948e-01,1.976276615100092116e-01,2.920645279938183236e-03,9.986375763222066215e-01,9.986375763222066215e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.044461043113383392e+00,1.045544828513885749e+00,-1.083785400502357277e-03,2.579647551192175037e+00,2.565363397905829679e+00,1.428415328634535797e-02,1.239710804539583933e+00,1.238085570486091136e+00,1.625234053492796704e-03,1.952497614262005410e-01,1.925407419722053870e-01,2.709019453995153981e-03,9.910308668296347046e-01,9.910308668296347046e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.046184248391970995e+00,1.047195373467500579e+00,-1.011125075529584194e-03,2.575952753246325777e+00,2.560061186258383970e+00,1.589156698794180755e-02,1.244142482915192138e+00,1.242324852237782329e+00,1.817630677409809437e-03,1.979582345232211438e-01,1.951294787702817501e-01,2.828755752939393631e-03,9.949104194100066856e-01,9.949104194100066856e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.047647575914119500e+00,1.048546481947558728e+00,-8.989060334392284801e-04,2.575251374280497885e+00,2.557756622370285449e+00,1.749475191021243603e-02,1.247539358214300620e+00,1.245531869235384947e+00,2.007488978915672462e-03,1.998917823001811200e-01,1.969853872878262191e-01,2.906395012354900942e-03,9.976910033194609229e-01,9.976910033194609229e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.048322262431754304e+00,1.049063311112394148e+00,-7.410486806398441928e-04,2.576537634019379297e+00,2.557485696878780690e+00,1.905193714059860710e-02,1.248867618415089531e+00,1.246679705448019204e+00,2.187912967070326786e-03,2.005453559833352273e-01,1.976163943356250563e-01,2.928961647710170979e-03,9.986354302602395983e-01,9.986354302602395983e-01,0.000000000000000000e+00
