t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,1.545516010283096486e+00,1.547320332913896035e+00,-1.804322630799548577e-03,5.950435161590576172e+00,5.950436355589252102e+00,-1.193998675930174613e-06,2.192343809420684408e+00,2.192344003041946987e+00,-1.936212625786026820e-07,6.468277991375879221e-01,6.450236701280509521e-01,1.804129009536969974e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.537655520916616503e+00,1.539803223854954162e+00,-2.147702938337658907e-03,5.952681242993488553e+00,5.950878178642554417e+00,1.803064350934135973e-03,2.171752160903448026e+00,2.171462603294127991e+00,2.895576093200347145e-04,6.340966399868315229e-01,6.316593794391738292e-01,2.437260547657693621e-03,9.904429412381445808e-01,9.904429412381445808e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.549567405164395728e+00,1.550539725288480053e+00,-9.723201240843248883e-04,5.941952858164810003e+00,5.937907850463187920e+00,4.045007701622083118e-03,2.203929212329004628e+00,2.203268732031913313e+00,6.604802970913148386e-04,6.543618071646088996e-01,6.527290067434332599e-01,1.632800421175639727e-03,1.005915860650633320e+00,1.005915860650633320e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.526192417360574316e+00,1.528634755471457884e+00,-2.442338110883568447e-03,5.952651794294866683e+00,5.947412162194789076e+00,5.239632100077606935e-03,2.141998000412240533e+00,2.141167947620794543e+00,8.300527914459898682e-04,6.158055830516662166e-01,6.125331921493366583e-01,3.272390902329558315e-03,9.768754728667158327e-01,9.768754728667158327e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.515769603025786338e+00,1.518057380544455270e+00,-2.287777518668931975e-03,5.923635542565403256e+00,5.915691103440081200e+00,7.944439125322055872e-03,2.118328935029030191e+00,2.117078040391255023e+00,1.250894637775168405e-03,6.025593320032438527e-01,5.990206598467997523e-01,3.538672156444100381e-03,9.681609953918205447e-01,9.681609953918205447e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.523792077522771127e+00,1.525297949965602085e+00,-1.505872442830957780e-03,5.884516229297878986e+00,5.873893700490969927e+00,1.062252880690905954e-02,2.145428413893940789e+00,2.143722959612239354e+00,1.705454281701435093e-03,6.216363363711696621e-01,6.184250096466372693e-01,3.211326724532392873e-03,9.834102686654042635e-01,9.834102686654042635e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.525487636314290629e+00,1.526495909410622298e+00,-1.008273096331668839e-03,5.868711525457040779e+00,5.856028356838254290e+00,1.268316861878648893e-02,2.151924208140908679e+00,2.149876046541640218e+00,2.048161599268460975e-03,6.264365718266180494e-01,6.233801371310179196e-01,3.056434695600129814e-03,9.875560745622662395e-01,9.875560745622662395e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.521032213009374079e+00,1.522078813181840795e+00,-1.046600172466716216e-03,5.859419103816698282e+00,5.845053406509620686e+00,1.436569730707759618e-02,2.141783924054427413e+00,2.139471138129696470e+00,2.312785924730942355e-03,6.207517110450533337e-01,6.173923249478556752e-01,3.359386097197658572e-03,9.835882934773988451e-01,9.835882934773988451e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.516958518856444504e+00,1.517934696390491389e+00,-9.761775340468847872e-04,5.845448424263352649e+00,5.829279507020911133e+00,1.616891724244151618e-02,2.133197878510276979e+00,2.130598795370163501e+00,2.599083140113478407e-03,6.162393596538324747e-01,6.126640989796721115e-01,3.575260674160363195e-03,9.806750909166653818e-01,9.806750909166653818e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.514664514944757068e+00,1.515437591949259977e+00,-7.730770045029089488e-04,5.828478769127422687e+00,5.810486091423329391e+00,1.799267770409329614e-02,2.129641327623252867e+00,2.126745237461105997e+00,2.896090162146869318e-03,6.149768126784957989e-01,6.113076455118460206e-01,3.669167166649778267e-03,9.802936566557491904e-01,9.802936566557491904e-01,0.000000000000000000e+00
