t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,1.299525344923084358e+00,1.279490564866587965e+00,2.003478005649639293e-02,3.601312787362286105e+00,3.601312787362286105e+00,0.000000000000000000e+00,1.736774774432068069e+00,1.736774774432068069e+00,0.000000000000000000e+00,4.372494295089837113e-01,4.572842095654801042e-01,-2.003478005649639293e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.300328759248129629e+00,1.283875720207264592e+00,1.645303904086503621e-02,3.582750925052776925e+00,3.602785705109273096e+00,-2.003478005649617089e-02,1.740941183310919627e+00,1.745128874374686223e+00,-4.187691063766596500e-03,4.406124240627899979e-01,4.612531541674216307e-01,-2.064073010463163271e-02,1.004633117269587261e+00,1.004633117269587261e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.292538882516112375e+00,1.277652026422136711e+00,1.488685609397566445e-02,3.569901396812248606e+00,3.608041143067808321e+00,-3.813974625555971443e-02,1.724778100309356965e+00,1.732693119291422112e+00,-7.915018982065147313e-03,4.322392177932445900e-01,4.550410928692854018e-01,-2.280187507604081176e-02,9.968478943500395095e-01,9.968478943500395095e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.274310611808619598e+00,1.258581399669255196e+00,1.572921213936440132e-02,3.550305002587618830e+00,3.606419348967878857e+00,-5.611434638026002730e-02,1.684610413495051473e+00,1.696030730936866959e+00,-1.142031744181548625e-02,4.102998016864318753e-01,4.374493312676117629e-01,-2.714952958117988757e-02,9.759444213021785108e-01,9.759444213021785108e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.297690399624965796e+00,1.290701997451509708e+00,6.988402173456087496e-03,3.511249470503003067e+00,3.587411060652753392e+00,-7.616159014975032449e-02,1.743333081671647911e+00,1.759525361110396480e+00,-1.619227943874856912e-02,4.456426820466821148e-01,4.688233636588867714e-01,-2.318068161220465662e-02,1.014788890510418762e+00,1.014788890510418762e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.279006416877149110e+00,1.270683988334621484e+00,8.322428542527626760e-03,3.512480002995964856e+00,3.602182647532278015e+00,-8.970264453631315860e-02,1.701124758631377354e+00,1.719707668199918160e+00,-1.858290956854080633e-02,4.221183417542282434e-01,4.490236798652966765e-01,-2.690533811106843309e-02,9.900700796904327028e-01,9.900700796904327028e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.267600707643372404e+00,1.259725059372050149e+00,7.875648271322255312e-03,3.490030449045455452e+00,3.595284939036183403e+00,-1.052544899907279508e-01,1.677514347216262802e+00,1.699126827599080070e+00,-2.161248038281726735e-02,4.099136395728903981e-01,4.394017682270299208e-01,-2.948812865413952267e-02,9.790294133729142700e-01,9.790294133729142700e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.252649699840380881e+00,1.244608783339577363e+00,8.040916500803518829e-03,3.458217590145983955e+00,3.579638348712291140e+00,-1.214207585663071853e-01,1.646613498017162946e+00,1.671277412352473402e+00,-2.466391433531045507e-02,3.939637981767820651e-01,4.266686290128960390e-01,-3.270483083611397390e-02,9.647939257950872705e-01,9.647939257950872705e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.266666404403735680e+00,1.266216726348245558e+00,4.496780554901214089e-04,3.414481382734413373e+00,3.553238978273622450e+00,-1.387575955392090776e-01,1.685797458810084581e+00,1.714978655161504495e+00,-2.918119635141991353e-02,4.191310544063489019e-01,4.487619288132589368e-01,-2.963087440691003493e-02,9.931841043553252257e-01,9.931841043553252257e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.276324119282229441e+00,1.279808407898326061e+00,-3.484288616096620217e-03,3.401448039919854782e+00,3.552274225608327285e+00,-1.508261856884725027e-01,1.708999449393131309e+00,1.741245538632397061e+00,-3.224608923926575166e-02,4.326753301109018679e-01,4.614371307340709993e-01,-2.876180062316913144e-02,1.008513851631306801e+00,1.008513851631306801e+00,0.000000000000000000e+00
