t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff,hours_nn,hours_ti,hours_diff
0,0.34151128016719484,0.34102749667985366,0.0004837834873411828,0.6260910640343004,0.6260910640343004,0.0,0.406009821605617,0.4074715765722907,-0.0014617549666737228,0.06449854143842215,0.06644407989243706,-0.0019455384540149057,1.0,1.0,0.0,0.33249062299728394,0.33424125620569856,-0.0017506332084146203
1,0.3434150980850825,0.3431730662110715,0.00024203187401100612,0.6251538127786864,0.6270993512327013,-0.0019455384540149057,0.4094739096134957,0.4109346918922195,-0.00146078227872376,0.0660588115284132,0.06776162568114796,-0.0017028141527347662,1.0130475588138979,1.0130475588138979,0.0,0.33055558800697327,0.33180428073600726,-0.0012486927290339955
2,0.33939338317290474,0.3393047140599806,8.866911292415569e-5,0.6258747882560945,0.6293198032682541,-0.003445015012159547,0.4023984318210636,0.40392882891550824,-0.0015303970944446355,0.06300504864815887,0.06462411485552766,-0.0016190662073687911,0.9865400714395205,0.9865400714395205,0.0,0.3347945511341095,0.33580548065737137,-0.001010929523261872
3,0.3407708894357789,0.3408423279935196,-7.143855774072172e-5,0.6234666482334983,0.6281706743410578,-0.004704026107559489,0.405236834772457,0.40676322812516075,-0.0015263933527037699,0.0644659453366781,0.06592090013164115,-0.0014549547949630481,0.9972337318255701,0.9972337318255701,0.0,0.33355647325515747,0.33423319388328426,-0.0006767206281267923
4,0.3428572821683922,0.34305683618780686,-0.00019955401941468276,0.6227710912120823,0.6284384316889802,-0.005667340476897875,0.4089691925921147,0.4104836779733926,-0.0015144853812778525,0.06611191042372255,0.06742684178558572,-0.0013149313618631697,1.0112708608326784,1.0112708608326784,0.0,0.33139097690582275,0.3317964883201642,-0.0004055114143414196
5,0.33681083741511886,0.33705433822246333,-0.00024350080734447666,0.6237941952921962,0.630184146080752,-0.006389950788555865,0.3983459611723222,0.39993666259199356,-0.001590701419671381,0.061535123757203325,0.06288232436953023,-0.0013472006123269042,0.9716067102446536,0.9716067102446536,0.0,0.33783257007598877,0.3382121094253725,-0.00037953934938372846
6,0.34292861331573543,0.34329944054828976,-0.00037082723255432715,0.6201335831705577,0.6272028900370835,-0.0070693068665258485,0.40959937099860566,0.4111303875636543,-0.0015310165650486152,0.06667075768287023,0.06783094701536452,-0.001160189332494288,1.0137845683308913,1.0137845683308913,0.0,0.3315831422805786,0.33165728232572383,-7.414004514522121e-5
7,0.34199387068933423,0.34240513443508347,-0.0004112637457492352,0.6219911931788984,0.6294818420677081,-0.007490648888809681,0.407629925470972,0.4091765715301408,-0.0015466460591688214,0.06563605478163775,0.06677143709505734,-0.0011353823134195862,1.0062747973150683,1.0062747973150683,0.0,0.33239391446113586,0.3323980286394866,-4.114178350722586e-6
8,0.34871991806018904,0.34921583486530244,-0.0004959168051134055,0.6226199525167846,0.6304630999246444,-0.007843147407859852,0.4191121127113434,0.4205998319277342,-0.0014877192163907926,0.07039219465115437,0.07138399706243176,-0.000991802411277387,1.0497972787941219,1.0497972787941219,0.0,0.32524368166923523,0.3250498742497589,0.00019380741947633284
9,0.3460487582702473,0.3465385280276679,-0.0004897697574205995,0.6279391370573413,0.6359543617640604,-0.008015224706719115,0.4134841228793347,0.414998174363685,-0.0015140514843502983,0.06743536460908744,0.06845964633601714,-0.0010242817269296989,1.0280439453881718,1.0280439453881718,0.0,0.32750165462493896,0.3273349323911708,0.00016672223376817952
10,0.3430518682985634,0.34354022211375373,-0.0004883538151903566,0.6297455579594394,0.6379473546533494,-0.008201796693909968,0.40796711900281424,0.40951241036894453,-0.001545291366130297,0.06491525070425086,0.0659721882551908,-0.0010569375509399404,1.0071568285475618,1.0071568285475618,0.0,0.3304760456085205,0.3303293895487,0.00014665605982050467
11,0.34137555711969114,0.34187726157515463,-0.000501704455463492,0.6288430672075266,0.6372445921756251,-0.00840152496809854,0.4052477360285289,0.40681234821536344,-0.001564612186834513,0.06387217890883778,0.0649350866402088,-0.0010629077313710211,0.9970239997290095,0.9970239997290095,0.0,0.33235329389572144,0.3321902936681658,0.00016300022755560972
12,0.35101392470048126,0.3516051338957129,-0.0005912091952316456,0.6269918283155647,0.6355781771743485,-0.008586348858783843,0.42223249044762473,0.4237120778020928,-0.0014795873544680704,0.07121856574714347,0.0721069439063799,-0.0008883781592364248,1.0614978311126488,1.0614978311126488,0.0,0.3224635720252991,0.32208910824599885,0.000374463779300227
13,0.3612522991179377,0.36188965965667597,-0.0006373605387382519,0.6326804581550711,0.6412577844973786,-0.008577326342307456,0.4388033720596895,0.44021783294255956,-0.0014144608828700611,0.07755107294175179,0.0783281732858836,-0.0007771003441318092,1.1257133587174322,1.1257133587174322,0.0,0.31176453828811646,0.3112946641604338,0.000469874127682679
14,0.35801891624165494,0.3586074467496069,-0.0005885305079519343,0.6441070490851535,0.6525650180825343,-0.008457968997380827,0.43106270675620856,0.4324801709830816,-0.0014174642268730553,0.07304379051455362,0.07387272423347474,-0.000828933718921121,1.0945278454840555,1.0945278454840555,0.0,0.3138883411884308,0.31350562581046726,0.0003827153779635273
15,0.3668561423964335,0.3674749091898412,-0.0006187667934077212,0.6498321095333179,0.658235029171569,-0.008402919638251016,0.4452305652752634,0.44659591091939216,-0.0013653456441287681,0.0783744228788299,0.07912100172955094,-0.0007465788507210469,1.1498039551501118,1.1498039551501118,0.0,0.3049713373184204,0.3045289315804623,0.0004424057379581181
16,0.3650230283690663,0.3656025059046248,-0.0005794775355584814,0.660289448703346,0.6685607175879371,-0.008271268884591065,0.4400964254192337,0.44145626329563054,-0.0013598378763968189,0.07507339705016741,0.07585375739100575,-0.0007803603408383375,1.1287573264382347,1.1287573264382347,0.0,0.3057909309864044,0.3054138963518256,0.00037703463457883224
17,0.37815751110620066,0.37880556621833283,-0.0006480551121321732,0.6663528151598737,0.674539974235288,-0.00818715907541434,0.46177420852959983,0.462990368549773,-0.0012161600201731626,0.08361669742339917,0.08418480233144016,-0.0005681049080409895,1.2145466794014164,1.2145466794014164,0.0,0.2935078740119934,0.2929832543436779,0.000524619668315518
18,0.3817764595171043,0.3824111366648057,-0.0006346771477013791,0.6803257703568223,0.6882253549115379,-0.007899584554715622,0.465532513673053,0.46664138936666344,-0.001108875693610456,0.08375605415594867,0.08423025270185774,-0.00047419854590907695,1.2283274200952423,1.2283274200952423,0.0,0.28936564922332764,0.28883132798093086,0.0005343212423967736
19,0.38988813883906775,0.3905766956548832,-0.000688556815815422,0.6929777014374086,0.7005258609075655,-0.007548159470156968,0.47759753843707026,0.47841547394732037,-0.0008179355102501118,0.0877093995980025,0.08783877829243719,-0.00012937869443468974,1.275650614635377,1.275650614635377,0.0,0.28184056282043457,0.28113787695300385,0.000702685867430719
20,0.3896053081901531,0.39018737755227084,-0.0005820693621177431,0.7082606637043014,0.7151493073666652,-0.006888643662363747,0.4742134524725261,0.4750395958815667,-0.0008261434090405806,0.08460814428237301,0.08485221832929585,-0.00024407404692283752,1.2606426182251715,1.2606426182251715,0.0,0.28095170855522156,0.2804125629243413,0.0005391456308802556
21,0.39326797948094955,0.3938297908268246,-0.000561811345875074,0.7188450746580732,0.7252578270387879,-0.0064127523807147035,0.47875871448549806,0.47945386422734737,-0.0006951497418493102,0.08549073500454851,0.08562407340052275,-0.00013333839597423625,1.2780433530960966,1.2780433530960966,0.0,0.27734121680259705,0.27679368254004044,0.0005475342625566038
22,0.3922348341981974,0.39270118223710415,-0.000466348038906772,0.7292058485650177,0.7350817117031281,-0.005875863138110393,0.4749511608578905,0.475696940767704,-0.0007457799098135043,0.08271632665969314,0.08299575853059987,-0.00027943187090673227,1.2620165374969998,1.2620165374969998,0.0,0.27738893032073975,0.2769983739686152,0.0003905563521245381
23,0.3856393714754314,0.3859590704572009,-0.0003196989817694784,0.7357093597430238,0.741250539994155,-0.005541180251131261,0.4619315406230055,0.46294084110954803,-0.0010093004865425192,0.07629216914757408,0.07698177065234713,-0.0006896015047730408,1.210178816300517,1.210178816300517,0.0,0.28202563524246216,0.28194904961101125,7.658563145090946e-5
24,0.37409890170128773,0.3743439085289362,-0.00024500682764844184,0.7351090001312846,0.7407606464498342,-0.005651646318549641,0.4418544326752504,0.44305445877670935,-0.001200026101458973,0.06775553097396264,0.06871055024777317,-0.0009550192738105312,1.1318649391283495,1.1318649391283495,0.0,0.291547030210495,0.29167263147871003,-0.00012560126821503648
25,0.363735434005944,0.3639864242582048,-0.0002509902522608298,0.726034748820612,0.7320507336348476,-0.006015984814235598,0.4256332488217121,0.4268956669008577,-0.0012624180791455664,0.061897814815768115,0.06290924264265285,-0.0010114278268847365,1.0700720961260917,1.0700720961260917,0.0,0.301361620426178,0.3015188317924118,-0.0001572113662338115
26,0.36052590431427206,0.36081480177435105,-0.0002888974600789851,0.7120511750627054,0.7184498281546666,-0.006398653091961193,0.42267508204227305,0.423977273322598,-0.001302191280324938,0.06214917772800099,0.06316247154824695,-0.001013293820245953,1.0592750183649924,1.0592750183649924,0.0,0.30548742413520813,0.30560007827524277,-0.00011265414003464036
27,0.3526271432742724,0.35292191964133407,-0.00029477636706165544,0.6997804548628941,0.7065236477211003,-0.006743192858206237,0.4113099779306288,0.4126928629776833,-0.0013828850470545273,0.058682834656356375,0.05977094333634925,-0.0010881086799928719,1.0170924690380323,1.0170924690380323,0.0,0.31402653455734253,0.31417775808161996,-0.0001512235242774329
28,0.35369778990812456,0.35405625990112505,-0.00035846999300048754,0.6853258636619186,0.6924524016356575,-0.007126537973738856,0.4158536988526026,0.4172439697779073,-0.001390270925304693,0.06215590894447803,0.06318770987678224,-0.0010318009323042054,1.034440431593753,1.034440431593753,0.0,0.31433042883872986,0.3143636140360225,-3.318519729261782e-5
29,0.3527729069207408,0.3531685747827004,-0.00039566786195960324,0.675855065696576,0.683268575793738,-0.007413510097161957,0.416027498792133,0.4174385375380415,-0.0014110387459084772,0.06325459187139221,0.06426996275534108,-0.001015370883948874,1.0354270197711914,1.0354270197711914,0.0,0.31610697507858276,0.3160804122498276,2.6562828755183343e-5
30,0.3447159687182686,0.34509472521680995,-0.00037875649854135496,0.66847278936997,0.6761268487033685,-0.007654059333398466,0.403493736402604,0.404995689864186,-0.0015019534615819952,0.0587777676843354,0.05990096464737604,-0.0011231969630406402,0.9890408573194172,0.9890408573194172,0.0,0.3248683512210846,0.32492620242728204,-5.785120619744566e-5
31,0.35064741390136966,0.35111726016406025,-0.0004698462626905875,0.65738524611222,0.6653625398016529,-0.007977293689432896,0.41582834614020964,0.4172825234567606,-0.001454177316550953,0.06518093223883997,0.06616526329270034,-0.0009843310538603656,1.0354374654775473,1.0354374654775473,0.0,0.3199440538883209,0.3197962233709125,0.00014783051740840936
32,0.3422059844792779,0.34264070744783653,-0.0004347229685586207,0.6538596799584228,0.6619875593152902,-0.008127879356867429,0.40191618069102986,0.4034600580667079,-0.001543877375678071,0.05971019621175194,0.06081935061887139,-0.0011091544071194503,0.9836816844662565,0.9836816844662565,0.0,0.32892492413520813,0.3288934333296767,3.1490805531442234e-5
33,0.3446657332717311,0.34516097913393423,-0.0004952458622031197,0.6452318516772966,0.653619401621452,-0.00838754994415547,0.4077997294719918,0.40932490057006893,-0.0015251710980771493,0.06313399620026067,0.0641639214361347,-0.0010299252358740296,1.0058320651856991,1.0058320651856991,0.0,0.32722657918930054,0.3270622925316171,0.0001642866576834212
34,0.3461493034698054,0.3466794925308386,-0.0005301890610331927,0.640929559274608,0.6494704112110152,-0.00854085193640719,0.4111787942415686,0.41269343777392137,-0.0015146435323527552,0.06502949077176323,0.0660139452430828,-0.0009844544713195624,1.0186827647903942,1.0186827647903942,0.0,0.32611361145973206,0.32587471893132125,0.00023889252841080566
35,0.33626222133618505,0.33673645037693356,-0.00047422904074850836,0.6389724147445848,0.6476050755790941,-0.00863266083450931,0.39449566517395096,0.3961111278901244,-0.0016154627161734658,0.05823344383776591,0.059374677513190866,-0.0011412336754249575,0.9569078028382744,0.9569078028382744,0.0,0.336818665266037,0.3367452332525783,7.343201345866301e-5
36,0.3327856026789618,0.33328165060831183,-0.0004960479293500408,0.6304237738820591,0.6392954274286341,-0.008871653546575042,0.3901610014195327,0.39180293295514884,-0.001641931535616148,0.057375398740570904,0.05852128234683701,-0.001145883606266107,0.9413180808878244,0.9413180808878244,0.0,0.34159108996391296,0.3414855769933307,0.0001055129705822555
37,0.3392421256903574,0.33982299281715383,-0.0005808671267964471,0.6219105475537401,0.6310008654637664,-0.009090317910026346,0.40290005438394466,0.4044933235983054,-0.0015932692143607596,0.06365792869358727,0.06467033078115159,-0.0010124020875643125,0.9885839660285557,0.9885839660285557,0.0,0.335373193025589,0.33506284382523954,0.0003103492003494468
38,0.33306063354642,0.333609581263488,-0.0005489477170679824,0.6205696094662937,0.6297222565552401,-0.009152647088946364,0.3925223823434017,0.39416714847426476,-0.0016447661308630623,0.059461748796981684,0.060557567210776764,-0.00109581841379508,0.9502721684799224,0.9502721684799224,0.0,0.34236040711402893,0.3421404278133881,0.00021997930064082682
39,0.33648598128111734,0.33708510947373227,-0.0005991281926149283,0.615172639380441,0.624464517651838,-0.009291878271396992,0.3994502986933091,0.40107050758368024,-0.001620208890371122,0.06296431741219177,0.06398539810994797,-0.0010210806977561937,0.9760582660627526,0.9760582660627526,0.0,0.33911368250846863,0.338774867123749,0.00033881538471963735
40,0.3420891690499689,0.3427373493411628,-0.0006481802911939005,0.6138423012481857,0.6231841212645045,-0.00934182001631878,0.40936470624999854,0.41093281248573427,-0.0015681062357357223,0.06727553720002966,0.06819546314457148,-0.0009199259445418217,1.0132435745486394,1.0132435745486394,0.0,0.33312714099884033,0.3326678470002588,0.00045929399858152253
41,0.3398929126987417,0.3405119345877772,-0.0006190218890354537,0.6169622229495955,0.6262476103053134,-0.009285387355717933,0.40497581768163315,0.4065642998273957,-0.0015884821457625709,0.06508290498289143,0.06605236523961855,-0.0009694602567271171,0.9965736618964124,0.9965736618964124,0.0,0.3351825475692749,0.3347907812408613,0.0003917663284135897
