t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff,hours_nn,hours_ti,hours_diff
0,0.5054088144441808,0.5080238647898746,-0.002615050345693759,2.026916916437761,2.026916916437761,0.0,0.6518051566866191,0.650471095676517,0.0013340610101021388,0.14639634224243825,0.14244723088664235,0.003949111355795898,1.0,1.0,0.0,0.33444246649742126,0.3333560118315366,0.0010864546658846397
1,0.49800803585460224,0.4992654317039106,-0.0012573958493083404,2.030948678678601,2.026999567322805,0.003949111355795676,0.6211362023480888,0.6197628636574002,0.0013733386906885636,0.12312816649348651,0.12049743195348961,0.002630734539996904,0.9676625844730617,0.9676625844730617,0.0,0.32602041959762573,0.32524848555469144,0.0007719340429342969
2,0.4921704049944555,0.492733654702467,-0.0005632497080114707,2.011429086253076,2.005126614123809,0.006302472129267045,0.6102606333587592,0.608792342055904,0.0014682913028551958,0.11809022836430372,0.11605868735343705,0.0020315410108666665,0.9583133317377034,0.9583133317377034,0.0,0.3237609565258026,0.3231205646275214,0.0006403918982811896
3,0.5017386660350539,0.502958874352494,-0.0012202083174400746,1.9882425534708599,1.9803512071171043,0.007891346353755546,0.6604431461120401,0.6581741131202511,0.002269032991789044,0.15870448007698623,0.1552152387677571,0.0034892413092291186,1.0133296506260374,1.0133296506260374,0.0,0.3382125496864319,0.3371567264326807,0.001055823253751198
4,0.5118900499532293,0.5132812661956039,-0.0013912162423745933,2.0072988250935775,1.9964725019888432,0.010826323104734303,0.688899454304223,0.6858432665596225,0.0030561877446004804,0.17700940435099366,0.1725620003640186,0.004447403986975074,1.0403083161083513,1.0403083161083513,0.0,0.34492596983909607,0.3435900886604569,0.0013358811786391422
5,0.5111050022433594,0.5113642883147593,-0.0002592860713999112,2.0433215654848187,2.0288082469373703,0.014513318547448417,0.6642707744149614,0.6611947197661645,0.0030760546487969,0.153165772171602,0.14983043145140518,0.003335340720196811,1.0109830499579815,1.0109830499579815,0.0,0.3371279239654541,0.33605792246577804,0.0010700014996760654
6,0.5150099904947456,0.5150891735763476,-7.918308160204113e-5,2.052970544185825,2.036141256991441,0.016829287194383813,0.6737948236035564,0.6703080058185695,0.0034868177849868287,0.15878483310881075,0.15521883224222188,0.00356600086658887,1.0196289027705945,1.0196289027705945,0.0,0.3392632007598877,0.33811214624637553,0.001151054513512162
7,0.5217667313111491,0.5218467799761143,-8.004866496513774e-5,2.067560868428272,2.0483476191493155,0.01921324927895629,0.6915297826495193,0.6874779904247964,0.00405179222472285,0.1697630513383701,0.16563121044868212,0.004131840889687988,1.035970965504677,1.035970965504677,0.0,0.34330523014068604,0.3419889459259188,0.0013162842147672604
8,0.5307808345539838,0.530869026113219,-8.81915592351179e-5,2.0921046301773893,2.070109021155151,0.021995609022238405,0.7121521664241202,0.7074323681227409,0.004719798301379252,0.18137133187013632,0.17656334200952195,0.00480798986061437,1.0538841018856608,1.0538841018856608,0.0,0.3476239740848541,0.3461171150525363,0.0015068590323178421
9,0.5358634954951575,0.5354384550783027,0.0004250404168548716,2.1265327920639976,2.1012740989515466,0.02525869311245099,0.7114352662009603,0.7063821814631025,0.005053084737857816,0.17557177070580277,0.17094372638479982,0.004628044321002944,1.0492633449136892,1.0492633449136892,0.0,0.3461597263813019,0.34467701711009585,0.0014827092712060286
10,0.5376976056812237,0.5366444957930271,0.0010531098881966239,2.1527432616988724,2.1246306192996953,0.0281126423991771,0.7029666384315478,0.6977771018870355,0.005189536544512374,0.16526903275032412,0.16113260609400837,0.00413642665631575,1.037940549752966,1.037940549752966,0.0,0.34306102991104126,0.3416790666776292,0.0013819632334120535
11,0.5274637029394943,0.5249892049440944,0.0024744979953998936,2.1668100484086192,2.136535527246746,0.030274521161873125,0.6549104701161282,0.6504087001906333,0.004501769925494892,0.12744676717663395,0.12541949524653895,0.002027271930094998,0.9882602395756221,0.9882602395756221,0.0,0.33013916015625,0.32925595692099824,0.0008832032352517616
12,0.5128353608705513,0.5095295287309675,0.0033058321395837975,2.142066560531744,2.1118911592296943,0.030175401302049654,0.6137894713215446,0.6099531254046892,0.0038363459168554437,0.10095411045099334,0.1004235966737217,0.0005305137772716462,0.948618771532652,0.948618771532652,0.0,0.31999340653419495,0.31947760010994464,0.0005158064242503091
13,0.5016549693092336,0.4982737427914322,0.0033812265178013723,2.092568324489169,2.063981839317362,0.028586485171806952,0.6000515307355794,0.5965315970576657,0.0035199336779137003,0.09839656142634579,0.09825785426623346,0.00013870716011232798,0.9391771421332776,0.9391771421332776,0.0,0.31797945499420166,0.31758113063436866,0.0003983243598330022
14,0.5027105108477338,0.5000223437665814,0.0026881670811523817,2.0439891474308256,2.0172717842912142,0.026717363139611372,0.6314837656327738,0.6276641061796702,0.0038196594531035855,0.12877325478503998,0.12764176241308878,0.0011314923719512038,0.9770661668820514,0.9770661668820514,0.0,0.32834863662719727,0.3277263965141489,0.0006222401130483446
15,0.4935000855927387,0.49044901400019675,0.0030510715925419762,2.02919871978668,2.003226411927996,0.025972307858684207,0.6052242185560591,0.6018672288698357,0.003356989686223444,0.1117241329633204,0.11141821486963893,0.0003059180936814676,0.9511076355111707,0.9511076355111707,0.0,0.32171231508255005,0.32130819736094657,0.0004041177216034808
