t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff,hours_nn,hours_ti,hours_diff
0,0.5081145090204436,0.5080238647898746,9.064423056903692e-5,2.026916916437761,2.026916916437761,0.0,0.6504250081525531,0.650471095676517,-4.6087523963844745e-5,0.14231049913210947,0.14244723088664235,-0.00013673175453288167,1.0,1.0,0.0,0.3333185017108917,0.3333560118315366,-3.7510120644901335e-5
1,0.49913871696247525,0.4992654317039106,-0.0001267147414353298,2.0268628355682727,2.026999567322805,-0.00013673175453243758,0.6197992554356065,0.6197628636574002,3.6391778206357195e-5,0.1206605384731313,0.12049743195348961,0.000163106519641687,0.9676625844730617,0.9676625844730617,0.0,0.3252917230129242,0.32524848555469144,4.323745823275882e-5
2,0.4926417855719418,0.492733654702467,-9.186913052516843e-5,2.0051625925182774,2.005126614123809,3.597839446856099e-5,0.6088442226583988,0.608792342055904,5.1880602494724926e-5,0.11620243708645694,0.11605868735343705,0.00014374973301989336,0.9583133317377034,0.9583133317377034,0.0,0.32316088676452637,0.3231205646275214,4.032213700494447e-5
3,0.503164514947944,0.502958874352494,0.00020564059545002955,1.9805284082298067,1.9803512071171043,0.00017720111270236316,0.6581039890183167,0.6581741131202511,-7.01241019344101e-5,0.15493947407037267,0.1552152387677571,-0.00027576469738443965,1.0133296506260374,1.0133296506260374,0.0,0.3370819389820099,0.3371567264326807,-7.478745067079906e-5
4,0.51365525703257,0.5132812661956039,0.00037399083696609825,1.9963614923281623,1.9964725019888432,-0.00011100966068089413,0.6856212292810729,0.6858432665596225,-0.00022203727854952504,0.17196597224850296,0.1725620003640186,-0.0005960281155156233,1.0403083161083513,1.0403083161083513,0.0,0.3434246778488159,0.3435900886604569,-0.00016541081164100913
5,0.511423615840935,0.5113642883147593,5.932752617565651e-5,2.0281090061476172,2.0288082469373703,-0.0006992407897530306,0.6610223151343119,0.6611947197661645,-0.00017240463185264066,0.14959869929337688,0.14983043145140518,-0.00023173215802829716,1.0109830499579815,1.0109830499579815,0.0,0.3359868824481964,0.33605792246577804,-7.104001758162504e-5
6,0.5152054364528404,0.5150891735763476,0.00011626287649280087,2.035259396624716,2.036141256991441,-0.0008818603667251068,0.6700671192822916,0.6703080058185695,-0.0002408865362779622,0.15486168282945112,0.15521883224222188,-0.00035714941277076306,1.0196289027705945,1.0196289027705945,0.0,0.33800530433654785,0.33811214624637553,-0.00010684190982768182
7,0.5220558073727473,0.5218467799761143,0.00020902739663297698,2.0471705486035945,2.0483476191493155,-0.0011770705457210262,0.6871226321583781,0.6874779904247964,-0.00035535826641830415,0.16506682478563084,0.16563121044868212,-0.0005643856630512811,1.035970965504677,1.035970965504677,0.0,0.3418237864971161,0.3419889459259188,-0.00016515942880268586
8,0.5310983159151093,0.530869026113219,0.0002292898018902978,2.0684502388599046,2.070109021155151,-0.0016587822952462972,0.7069580063909521,0.7074323681227409,-0.00047436173178883045,0.17585969047584282,0.17656334200952195,-0.0007036515336791282,1.0538841018856608,1.0538841018856608,0.0,0.3459116518497467,0.3461171150525363,-0.00020546320278957975
9,0.5355565717470708,0.5354384550783027,0.00011811666876815341,2.09902817302823,2.1012740989515466,-0.0022459259233165163,0.7058499781747756,0.7063821814631025,-0.0005322032883269268,0.17029340642770474,0.17094372638479982,-0.0006503199570950802,1.0492633449136892,1.0492633449136892,0.0,0.34448128938674927,0.34467701711009585,-0.00019572772334658373
