t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff,hours_nn,hours_ti,hours_diff
0,0.30655159266490783,0.3067733265220759,-0.0002217338571680605,0.4897532385010962,0.4897532385010962,0.0,0.3621428198202082,0.36167702119710254,0.0004657986231056399,0.05559122715530035,0.05490369467502665,0.0006875324802737004,1.0,1.0,0.0,0.3339346945285797,0.33338988582211193,0.0005448087064677809
1,0.30540648351409017,0.30553306295830224,-0.00012657944421207157,0.4905121806472674,0.4898246481669938,0.0006875324802736449,0.3587666469325903,0.3583479921588872,0.0004186547737031199,0.05336016341850014,0.05281492920058495,0.0005452342179151914,0.9886656186998356,0.9886656186998356,0.0,0.3346576690673828,0.3342882542810524,0.00036941478633040203
2,0.30563930058604855,0.3057313031677695,-9.200258172092912e-5,0.4889550886495174,0.48779929740334754,0.0011557912461698794,0.35982024623992864,0.35936670604981474,0.0004535401901138991,0.0541809456538801,0.05363540288204527,0.0005455427718348282,0.9922666899218625,0.9922666899218625,0.0,0.3346449136734009,0.3343223652691446,0.0003225484042562732
3,0.30561902545897,0.30567168525975064,-5.265980078061894e-5,0.48839310935705377,0.4868211765763231,0.001571932780730645,0.35991057729213605,0.3594448010058944,0.00046577628624167033,0.05429155183316603,0.05377311574614374,0.0005184360870222893,0.9925994931818599,0.9925994931818599,0.0,0.33471250534057617,0.33445259227067026,0.0002599130699059149
4,0.30385235869977,0.3038116220718395,4.073662793052657e-5,0.4880046548859822,0.48609027804742344,0.0019143768385587734,0.3550268253677953,0.3546839195918251,0.00034290577597018146,0.051174466668025276,0.05087229751998562,0.0003021691480396549,0.9764569789995645,0.9764569789995645,0.0,0.3359473943710327,0.3358902878981282,5.710647290452231e-5
5,0.30522185643916006,0.3052378029070908,-1.5946467930738617e-5,0.4845426062256255,0.4825403919640158,0.0020022142616096805,0.359817891024729,0.3593280100757795,0.0004898809489494726,0.05459603458556894,0.05409020716868873,0.0005058274168802113,0.9924995737103519,0.9924995737103519,0.0,0.33535823225975037,0.3351517094240815,0.0002065228356688542
6,0.30517947501530607,0.30516542559599263,1.4049419313433287e-5,0.4848897330041862,0.48260585724112326,0.002283875763062937,0.35961033844287876,0.3591196575527696,0.0004906808901091742,0.054430863427572695,0.053954231956776955,0.00047663147079574086,0.9917843033856525,0.9917843033856525,0.0,0.3353549540042877,0.3351994194915276,0.00015553451276012487
7,0.30566887209974425,0.30564241228433864,2.6459815405610598e-5,0.4850328246562048,0.4825280178790679,0.002504806777136881,0.36092481735085513,0.3604079207926793,0.0005168965581758278,0.05525594525111088,0.054765508508340666,0.0004904367427702172,0.9961855502400652,0.9961855502400652,0.0,0.3349970281124115,0.3348539265996445,0.00014310151276697436
8,0.30573167393192163,0.3056823195745943,4.935435732733584e-5,0.4859849777328563,0.4832701698860591,0.002714807846797229,0.36084978475497653,0.360334152313105,0.0005156324418715275,0.0551181108230549,0.05465183273851071,0.0004662780845441916,0.9958804563018719,0.9958804563018719,0.0,0.3348623812198639,0.33475885355357693,0.0001035276662869622
9,0.30296142719995023,0.30278924372610394,0.00017218347384628796,0.4866926942709053,0.48381555552336636,0.002877138747538921,0.3528230828401079,0.3525389055483718,0.0002841772917360763,0.049861655640157654,0.049749661822267865,0.00011199381788978835,0.9693147702140157,0.9693147702140157,0.0,0.33666619658470154,0.33685835234106487,-0.00019215575636333249
10,0.3028288303672478,0.30270157188230623,0.00012725848494155034,0.48206472038702364,0.4793977094114361,0.002667010975587525,0.3537184551362368,0.353381660212149,0.0003367949240877799,0.050889624768989006,0.050680088329842776,0.00020953643914622955,0.9724562426015448,0.9724562426015448,0.0,0.3372313380241394,0.33732640479630277,-9.506677216336579e-5
11,0.3046987095635021,0.30466644003506144,3.226952844065378e-5,0.4789828589806369,0.47640490745958936,0.002577951521047561,0.3598287401815337,0.3593016482713336,0.000527091910200117,0.05513003061803162,0.05463520823627216,0.0004948223817594632,0.9928523874371419,0.9928523874371419,0.0,0.33626076579093933,0.3361229451228612,0.00013782066807810356
12,0.30746136836132953,0.3074566041429508,4.7642183787499626e-6,0.4804864455582072,0.47770229654121904,0.0027841490169881467,0.36707025392692477,0.3664269911380975,0.0006432627888272591,0.05960888556559524,0.05897038699514673,0.0006384985704485091,1.0171694126608168,1.0171694126608168,0.0,0.3341618478298187,0.33394004117520815,0.00022180665461057902
13,0.30832220604559873,0.30827835812234816,4.384792325057285e-5,0.48630054702701075,0.4831896099917587,0.0031109370352520593,0.36793415446907773,0.36730395334913896,0.000630201119938778,0.059611948423479,0.059025595226790795,0.0005863531966882052,1.0197302114081979,1.0197302114081979,0.0,0.33301469683647156,0.3328646277111954,0.00015006912527615324
14,0.30718665108148074,0.3070869143890959,9.973669238483307e-5,0.49146677034147507,0.48811777752291063,0.0033489928185644335,0.36346388423182946,0.3629125077985136,0.0005513764333158755,0.056277233150348716,0.05582559340941767,0.0004516397409310424,1.0043293838542346,1.0043293838542346,0.0,0.333334356546402,0.3333046487622648,2.9707784137189552e-5
15,0.3059793662881062,0.3058419505365101,0.00013741575159609276,0.49271987316375115,0.48929419050613504,0.0034256826576161137,0.3597812256165582,0.359299695159788,0.000481530456770185,0.053801859328451995,0.0534577446232779,0.00034411470517409226,0.9919374463424815,0.9919374463424815,0.0,0.3340507447719574,0.33410927560225334,-5.853083029594419e-5
16,0.3065597282340259,0.3064429166871712,0.0001168115468546671,0.491357306019674,0.48797104467679486,0.0033862613428791155,0.36174570131054634,0.3612245565061999,0.0005211448043464517,0.055185973076520456,0.05478163981902867,0.0004043332574917846,0.9985833466938377,0.9985833466938377,0.0,0.33377715945243835,0.33378678073993423,-9.621287495875652e-6
17,0.3067013286216028,0.30658455386262756,0.00011677475897525769,0.4915314042846136,0.4881199321330016,0.003411472151612027,0.36209448974138303,0.36156719948157323,0.0005272902598097984,0.05539316111978021,0.05498264561894567,0.0004105155008345407,0.9997408217705508,0.9997408217705508,0.0,0.3336629569530487,0.3336703776740081,-7.420720959383509e-6
18,0.30658787663402015,0.3064644288364675,0.0001234477975526338,0.49189319872439363,0.48845315609775314,0.0034400426266404938,0.36168385857531343,0.3611653477918362,0.0005185107834772551,0.05509598194129328,0.05470091895536866,0.0003950629859246213,0.998347679111709,0.998347679111709,0.0,0.33370697498321533,0.33372877038103516,-2.179539781982376e-5
19,0.30815688092286586,0.30806334935878243,9.353156408342667e-5,0.49191730784039317,0.48846734597557506,0.0034499618648181074,0.36604063035120776,0.36544912314626143,0.0005915072049463288,0.0578837494283419,0.057385773787479,0.0004979756408629021,1.012966246222461,1.012966246222461,0.0,0.33261939883232117,0.33256584230441244,5.355652790872689e-5
