score_max_nrmse,alpha,beta,delta,rho,gamma,sigma_eps,nu,ti_converged,ti_k_oob_frac,ti_a_oob_frac,nn_k_oob_frac,nn_a_oob_frac,mean_nrmse,nrmse_c,nrmse_k,nrmse_y,nrmse_i,nrmse_A,nrmse_n
0.6446313950516184,0.41322424050824375,0.9700589250358537,0.12960688935213763,0.9745995120148184,1.1763796619427878,0.00842508430533205,1.9049105301510119,true,0.0,0.0,0.0,0.0,0.33825925232314913,0.1397146668528394,0.5390668940863563,0.26323598639172247,0.44290657155635815,0.0,0.6446313950516184
0.28030030641583314,0.21175583786115806,0.9574882054236733,0.11195900445078191,0.8716497816385556,3.9756672319642132,0.010272021165116656,0.6456614922072144,true,0.0,0.0,0.0,0.0,0.11544453405136319,0.055544562166378555,0.28030030641583314,0.09852203340060861,0.1723102656173511,0.0,0.0859900367080078
0.2665058567938935,0.39711573261765143,0.9605796577807395,0.11434022971898956,0.9139772600341165,0.5197849730628508,0.005353029328852661,0.5998464932963563,true,0.0,0.0,0.0,0.0,0.16524441501643358,0.1606955741845116,0.26433589987159467,0.11268545824461754,0.2665058567938935,0.0,0.18724370100398424
0.254570926234943,0.35329837624682525,0.9118844941771376,0.14394078841255867,0.8640870241340709,2.0259799716496962,0.007351879839068446,1.0499378574977687,true,0.0,0.0,0.0,0.0,0.12083158504625237,0.07565329038230487,0.254570926234943,0.10265452741627124,0.16904530718844296,0.0,0.12306545905555208
0.1934111524432934,0.4333383218192913,0.9522503983687087,0.06254092430331687,0.9670720005073011,2.3444857157894528,0.006840776121246166,1.1978022580718335,true,0.0,0.0,0.0,0.0,0.09316136132352348,0.05983346369634143,0.1934111524432934,0.07669213512668757,0.13403985921184244,0.0,0.09499155746297606
0.16142920722786094,0.3558320213360616,0.9839356368337893,0.024658522876724747,0.9275127962381159,0.5735268521133796,0.03146727134347447,1.5068267509521878,true,0.0,0.0,0.0,0.0,0.06969657685267927,0.06782678766387203,0.16142920722786094,0.060079778226777576,0.06670153993654926,0.0,0.06214214806101579
0.15407356091252927,0.23822758942360797,0.9180754180025258,0.037341081083106284,0.9020363220632016,2.2220400748684153,0.010713941861195718,0.8340208648537066,true,0.0,0.01,0.0,0.01,0.06222063000023934,0.04055086960518841,0.15407356091252927,0.046547080435433166,0.08089412391562786,0.0,0.05125814513265735
0.15150563052436056,0.4357384235583398,0.9249376199810407,0.14260565427860927,0.9261915180879682,2.785743270539397,0.01733388876685314,0.9152167453884321,true,0.0,0.0,0.0,0.0,0.06913359011227933,0.04300739618488378,0.15150563052436056,0.06886726652971237,0.10883631887745578,0.0,0.04258492855726353
0.15021584360860174,0.31564336903315604,0.9086533948778626,0.10451481653865488,0.9775755223092111,3.1355245136929746,0.035175156665480274,1.8838392281905023,true,0.0,0.0,0.0,0.0,0.059060422547581,0.02352261586526471,0.15021584360860174,0.04588524011430682,0.11473979995220926,0.0,0.019999035745103408
0.13935868553350075,0.32181703489482905,0.9031069682764303,0.032438875554726035,0.9692466935757273,1.0292083514829213,0.043637571128674134,1.7667280460669723,true,0.045,0.0,0.0,0.0,0.07520798674139649,0.04081307540195825,0.10778498585164677,0.0429723847190979,0.1203187889421752,0.0,0.13935868553350075
