t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff,hours_nn,hours_ti,hours_diff
0,0.5064224035591449,0.5065979638336996,-0.00017556027455467582,2.3162431783419097,2.3162431783419097,0.0,0.6150225988611023,0.6149557753708444,6.682349025788348e-5,0.10860019530195741,0.10835781153714485,0.0002423837648125593,1.0,1.0,0.0,0.33339208364486694,0.3333391338324966,5.2949812370362004e-5
1,0.5043365800969414,0.5040855932325772,0.0002509868643641999,2.316512128386624,2.3162697446218115,0.00024238376481244828,0.6072374391882158,0.6073044213717622,-6.698218354639351e-5,0.10290085909127444,0.10321882813918504,-0.00031796904791059344,0.9898735350345317,0.9898735350345317,0.0,0.33212849497795105,0.33219810137702066,-6.960639906961053e-5
2,0.5066843090706846,0.507058343670494,-0.0003740345998093364,2.3110691633629914,2.3111560849925135,-8.692162952206317e-5,0.6181763166841331,0.6180434931712102,0.00013282351292287498,0.11149200761344846,0.11098514950071625,0.0005068581127322114,1.0045301420629482,1.0045301420629482,0.0,0.33402684330940247,0.3339161369336966,0.00011070637570587127
3,0.5089880026761522,0.5097133370404217,-0.0007253343642694698,2.314471915632384,2.314047913803853,0.0004240018285308622,0.6255204968717119,0.6251912524046044,0.00032924446710747013,0.11653249419555967,0.11547791536418273,0.00105457883137694,1.0137111563842949,1.0137111563842949,0.0,0.33512604236602783,0.3348965561075817,0.00022948625844615433
4,0.508563930143882,0.50885606006622,-0.0002921299223379581,2.322756006949599,2.321297256956223,0.0014587499933762516,0.6204486059765839,0.6201665958831306,0.00028201009345329986,0.1118846758327019,0.11131053581691064,0.000574140015791258,1.0064375092043378,1.0064375092043378,0.0,0.33411407470703125,0.33398898325364107,0.00012509145339018035
5,0.5105616947038836,0.5111422113402991,-0.0005805166364155623,2.3260048309795036,2.32404016705505,0.0019646639244537134,0.6266932631452774,0.6262386995688026,0.00045456357647477574,0.11613156844139383,0.11509648822850349,0.001035080212890338,1.0142006995856865,1.0142006995856865,0.0,0.3350379168987274,0.33481336291897346,0.00022455397975396085
6,0.5095340302640764,0.5095869411161882,-5.291085211178714e-5,2.3333485993442435,2.330440743006695,0.00290785633754842,0.6197261856290378,0.6193683091833697,0.00035787644566809274,0.11019215536496141,0.10978136806718153,0.0004107872977798799,1.0045797582975604,1.0045797582975604,0.0,0.3337456285953522,0.3336560135665474,8.961502880477923e-5
7,0.5051387736268284,0.5043354755590511,0.0008032980677772361,2.3344094848366024,2.3312268423349294,0.0031826425016729942,0.6032030427245271,0.6031442620657976,5.878065872944038e-5,0.09806426909769872,0.09880878650674652,-0.0007445174090477957,0.983078055935119,0.983078055935119,0.0,0.33105793595314026,0.3312193820260192,-0.00016144607287893464
8,0.5062820705274962,0.5059718593726833,0.0003102111548128894,2.3232928661944827,2.3210035940498726,0.002289272144610166,0.6116233260758198,0.6114772847976387,0.00014604127818107493,0.10534125554832363,0.10550542542495545,-0.00016416987663181448,0.9949843995332024,0.9949843995332024,0.0,0.33267441391944885,0.3327097331055877,-3.5319186138860204e-5
9,0.5099461916892446,0.510533426210885,-0.0005872345216404451,2.3199731609052288,2.317955128440834,0.0020180324643948033,0.6268641830827318,0.6263997363482632,0.0004644467344686598,0.11691799139348724,0.11586631013737814,0.001051681256109105,1.0149555905553842,1.0149555905553842,0.0,0.33520883321762085,0.33498043725172283,0.00022839596589802058
10,0.5101561031684542,0.5104594036580288,-0.0003033004895746094,2.3283854548683807,2.325410125006999,0.0029753298613814927,0.6241623822053062,0.6236973977155761,0.00046498448973009143,0.11400627903685201,0.11323799405754731,0.0007682849793047009,1.0107303246129937,1.0107303246129937,0.0,0.334576815366745,0.33440992658552426,0.00016688878122073092
11,0.5164042326372557,0.5177657264208774,-0.0013614937836217145,2.3334925914821527,2.3298881335279056,0.003604457954247131,0.6455678553707652,0.6445995084544245,0.0009683469163407343,0.12916362273350956,0.12683378203354712,0.002329840699962449,1.0378046746387557,1.0378046746387557,0.0,0.33781698346138,0.3373172291188975,0.0004997543424825057
