t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff,hours_nn,hours_ti,hours_diff
0,0.3296844358765017,0.32948145597812234,0.00020297989837936292,0.7345061910246452,0.7345061910246452,0.0,0.39856571786954165,0.3987090014826646,-0.00014328361312293536,0.06888128199303994,0.06922754550454224,-0.0003462635115022983,1.0,1.0,0.0,0.33318883180618286,0.3333437251867458,-0.00015489338056295932
1,0.3312561733258566,0.3311457946041803,0.00011037872167629637,0.7341831527117191,0.7345294162232214,-0.0003462635115023538,0.40241689972442546,0.4025740705469584,-0.00015717082253291492,0.07116072639856885,0.07142827594277806,-0.0002675495442092113,1.0068803881492867,1.0068803881492867,0.0,0.33442291617393494,0.3345455861114825,-0.00012266993754755928
2,0.339813636593914,0.3401268326296008,-0.00031319603568680243,0.7361699950990082,0.7367511836087959,-0.0005811885097877223,0.42269747010112935,0.42260886006382553,8.861003730381567e-5,0.08288383350721534,0.08248202743422473,0.0004018060729906181,1.0420309081918333,1.0420309081918333,0.0,0.3406381607055664,0.34046707464466763,0.00017108606089877298
3,0.3425294874028433,0.3427288636929495,-0.0001993762901062457,0.7496927466126153,0.7498173701429784,-0.00012462353036313267,0.42319272225873783,0.4230782528362272,0.00011446942251064351,0.08066323485589455,0.08034938914327766,0.0003138457126168892,1.0410375821004518,1.0410375821004518,0.0,0.3397579789161682,0.3396226038810457,0.00013537503512250915
4,0.34703615108860275,0.3472637938552581,-0.00022764276665532268,0.7597208015318195,0.7595198374652654,0.00020096406655412125,0.42974784830752905,0.4295361608841032,0.00021168742342586588,0.0827116972189263,0.0822723670288451,0.00043933019008118857,1.0510057671317488,1.0510057671317488,0.0,0.34100341796875,0.340812655892711,0.0001907620760390194
5,0.3466071934699577,0.34661575551653057,-8.562046572846427e-6,0.7708524871255623,0.7702311274698899,0.0006213596556724488,0.42357643480113827,0.42342838064458077,0.00014805415655749776,0.07696924133118055,0.0768126251280502,0.0001566162031303442,1.038907647199561,1.038907647199561,0.0,0.3382876217365265,0.3382146544118904,7.296732463607514e-5
6,0.3439773251041855,0.3437446270357327,0.00023269806845277463,0.7751929023426032,0.7744734702689473,0.000719432073655879,0.4149148956808054,0.414918637265627,-3.7415848215816006e-6,0.07093757057661992,0.07117401022989428,-0.00023643965327435623,1.0234789402878655,1.0234789402878655,0.0,0.335252046585083,0.33534719736928326,-9.515078420024858e-5
7,0.34407649918702926,0.3439367973891809,0.00013970179784833503,0.7730926979240373,0.7726774895581294,0.0004152083659079153,0.41612395998142704,0.4161296679306677,-5.707949240651988e-6,0.07204746079439778,0.07219287054148676,-0.00014540974708898702,1.025828745861002,1.025828745861002,0.0,0.33578628301620483,0.33584511156988084,-5.88285536760047e-5
8,0.34215376696824296,0.34197423684993405,0.00017953011830890153,0.7723002625445123,0.7720695843757308,0.00023067816878152847,0.41173865424948214,0.4118136553812899,-7.500113180775037e-5,0.06958488728123918,0.06983941853135583,-0.0002545312501166519,1.0183391197696672,1.0183391197696672,0.0,0.3344714641571045,0.3345795399381439,-0.00010807578103938509
9,0.34452258597447755,0.3445581677451911,-3.558177071355528e-5,0.7691199159929999,0.7691655033035014,-4.558731050152698e-5,0.41908963343347705,0.41907470176883854,1.4931664638506703e-5,0.0745670474589995,0.07451653402364744,5.0513435352061986e-5,1.0314372688075144,1.0314372688075144,0.0,0.3370116055011749,0.33699022549898294,2.1380002191984104e-5
10,0.34265885053632156,0.3425561451162144,0.000102705420107152,0.7712213781778632,0.7712121568695599,9.2213083032755e-6,0.4134630572957723,0.41353334608968617,-7.028879391385301e-5,0.07080420675945076,0.07097720097347177,-0.000172994214021005,1.0214653287146729,1.0214653287146729,0.0,0.3350909352302551,0.3351657721191763,-7.483688892118145e-5
11,0.3436609596507151,0.34366641469809106,-5.4550473759795715e-6,0.769362002336635,0.7695266440633117,-0.0001646417266767397,0.4168059761314239,0.4168391882548336,-3.3212123409731564e-5,0.07314501648070881,0.07317277355674257,-2.7757076033751993e-5,1.0274762977968808,1.0274762977968808,0.0,0.33627694845199585,0.3362905077178049,-1.3559265809037768e-5
12,0.3477293030826374,0.34798446156236035,-0.00025515847972296113,0.7700186244490553,0.7701955108994836,-0.00017688645042823747,0.4267880257560602,0.4266460809744852,0.00014194478157497636,0.07905872267342279,0.07866161941212485,0.0003971032612979375,1.0445252929563433,1.0445252929563433,0.0,0.33934175968170166,0.3391729965320279,0.00016876314967373407
