t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff,hours_nn,hours_ti,hours_diff
0,0.6127874360489061,0.6109672065934287,0.001820229455477329,2.1086901764769745,2.1086901764769745,0.0,0.664185668953916,0.6648253441810343,-0.0006396752271183859,0.05139823290500989,0.0538581375876056,-0.002459904682595715,1.0,1.0,0.0,0.3328300416469574,0.33334244754472847,-0.0005124058977710733
1,0.6233129166334772,0.6246547303598812,-0.001341813726403962,2.106273878709432,2.1087337833920277,-0.002459904682595493,0.7070686196012516,0.7070484950129106,2.0124588340997285e-5,0.08375570296777435,0.08239376465302939,0.0013619383147449593,1.046016314406631,1.046016314406631,0.0,0.34254637360572815,0.34229176348818424,0.0002546101175439075
2,0.631834011884684,0.6340427474119172,-0.0022087355272332188,2.1362767157915323,2.1373119045083704,-0.0010351887168380536,0.720603901257118,0.7199900722179752,0.0006138290391428658,0.08876988937243402,0.08594732480605793,0.0028225645663760845,1.056522690064299,1.056522690064299,0.0,0.344563752412796,0.34399514016034205,0.0005686122524539705
3,0.6198695072138072,0.6175503925309694,0.002319114682837742,2.170528056099972,2.168714261862576,0.001813794237395694,0.6512107696713947,0.6516895662444032,-0.00047879657300853307,0.031341262457587504,0.03413917371343378,-0.002797911255846275,0.9789286293585583,0.9789286293585583,0.0,0.32794687151908875,0.32849648594887854,-0.0005496144297897909
4,0.6141560439378857,0.6118961190592327,0.002259924878653008,2.1464766629869922,2.147507068685833,-0.0010304056988408306,0.6451947274184464,0.6461421546443884,-0.000947427225941988,0.031038683480560714,0.03424603558515571,-0.003207352104594996,0.9751512426858171,0.9751512426858171,0.0,0.32729509472846985,0.32796933318898536,-0.0006742384605155083
5,0.6028642122424933,0.5998392955372797,0.003024916705213654,2.1227364910876605,2.1269479525675763,-0.004211461479915801,0.61906185640492,0.6207733247360537,-0.0017114683311337808,0.01619764416242664,0.020934029198774073,-0.004736385036347435,0.9493339363705238,0.9493339363705238,0.0,0.32192471623420715,0.32296510776876974,-0.0010403915345625903
6,0.5931369671884874,0.5903352718395111,0.0028016953489763408,2.084761137583718,2.0936015060904016,-0.008840368506683571,0.6077955407968046,0.6102018558005192,-0.0024063150037145764,0.014658573608317238,0.019866583961008155,-0.005208010352690917,0.9410997936357114,0.9410997936357114,0.0,0.3204365372657776,0.32165125952274337,-0.0012147222569657834
7,0.5863590137265193,0.5843152431906458,0.002043770535873568,2.046215858186525,2.0600386276664535,-0.013822769479928443,0.607298282004325,0.610329601555122,-0.0030313195507969404,0.020939268277805678,0.026014358364476187,-0.005075090086670508,0.944885202062402,0.944885202062402,0.0,0.3215401768684387,0.32280642784721403,-0.0012662509787753073
8,0.5667350227262357,0.5643188080306016,0.0024162146956340225,2.014934962833173,2.0334800603579817,-0.018545097524808707,0.5606595073571081,0.5643841245681681,-0.0037246172110599884,-0.006075515369127538,6.531653756647327e-5,-0.006140831906694011,0.8954407621521197,0.8954407621521197,0.0,0.31122997403144836,0.31282191363136214,-0.001591939599913772
9,0.5572248005572126,0.5557254824032815,0.0014993181539311173,1.9574375835173257,1.981650235399235,-0.024212651881909242,0.5621579141975472,0.5666171200542321,-0.004459205856684911,0.004933113640334663,0.010891637650950692,-0.005958524010616029,0.9035337246258749,0.9035337246258749,0.0,0.31347936391830444,0.3151369783349918,-0.0016576144166873807
